variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,singleton_fraction,estimator_stable,ci_width,category
noise_015,noise,moderate,0.525,2400,center_of_mass,0.3310316236492873,True,0.0033764293275402174,Component-erasing
noise_016,noise,mild,0.45,900,center_of_mass,0.3121113904164754,True,0.0029245177535292544,Robust propagation retained
noise_016,noise,mild,0.45,1500,center_of_mass,0.3372370465161842,True,0.0029632727264487096,Robust propagation retained
noise_016,noise,mild,0.45,2400,center_of_mass,0.3610741317489362,True,0.0026458466654541157,Component-erasing
noise_016,noise,mild,0.5,900,center_of_mass,0.3130435763559337,True,0.0029077344625415974,Robust propagation retained
noise_016,noise,mild,0.5,1500,center_of_mass,0.33847161278737165,True,0.0032479275338867103,Robust propagation retained
noise_016,noise,mild,0.5,2400,center_of_mass,0.3624710873604378,True,0.0026855018448943974,Robust propagation retained
noise_016,noise,mild,0.525,900,center_of_mass,0.31405355572673704,True,0.0035242408786828744,Robust propagation retained
noise_016,noise,mild,0.525,1500,center_of_mass,0.3398988498115526,True,0.003206389562104117,Robust propagation retained
noise_016,noise,mild,0.525,2400,center_of_mass,0.363203897085059,True,0.00311635359909454,Robust propagation retained
noise_017,noise,moderate,0.45,900,center_of_mass,0.3009651930620144,True,0.0033501426182266925,Robust propagation retained
noise_017,noise,moderate,0.45,1500,center_of_mass,0.31658710538792945,True,0.003157115962599308,Robust propagation retained
noise_017,noise,moderate,0.45,2400,center_of_mass,0.32246754155701063,True,0.002456484868556097,Component-erasing
noise_017,noise,moderate,0.5,900,center_of_mass,0.30261134959465236,True,0.003314872677586636,Robust propagation retained
noise_017,noise,moderate,0.5,1500,center_of_mass,0.31847355184873416,True,0.003324200529337157,Robust propagation retained
noise_017,noise,moderate,0.5,2400,center_of_mass,0.3264931917485755,True,0.0031571739201265575,Component-erasing
noise_017,noise,moderate,0.525,900,center_of_mass,0.30321575513124854,True,0.003236289217748975,Robust propagation retained
noise_017,noise,moderate,0.525,1500,center_of_mass,0.3206292256431498,True,0.0034501735485784613,Robust propagation retained
noise_017,noise,moderate,0.525,2400,center_of_mass,0.33031344749154706,True,0.003105722413773618,Component-erasing
noise_018,noise,mild,0.45,900,center_of_mass,0.3497670626352056,True,0.002546108164346493,Robust propagation retained
