alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,n_seeds
0.4,2400,center_of_mass,Delta_R,-0.5585367222285784,0.10149810127517475,0.01134783270192244,-0.576472438962763,-0.5370324193773455,80
0.4,2400,center_of_mass,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00031249999999999995,0.0004253125000000001,80
0.4,2400,center_of_mass,Delta_H_cond_product,-5.870846644373152,0.1324183950675744,0.014804826642125962,-5.8994166440855915,-5.842042414972294,80
0.4,2400,center_of_mass,Delta_H_weighted_product,-5.863285839125227,0.1291459707867632,0.014438958484970225,-5.891520253579009,-5.835812551081654,80
0.4,2400,center_of_mass,Delta_H_recovery_product,-5.871525718320374,0.13349089560834945,0.014924735847879875,-5.90034291762277,-5.842513699819692,80
0.4,2400,center_of_mass,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003753125,0.0003375,80
0.4,2400,center_of_mass,certified_transport_density_advantage,0.024799799799799755,0.006995185947982346,0.0007820855647469916,0.023334584584584532,0.026264076576576534,80
0.4,2400,identity_like_diagnostic,Delta_R,0.0,0.0,0.0,0.0,0.0,80
0.4,2400,identity_like_diagnostic,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00045031250000000003,0.00038781250000000014,80
0.4,2400,identity_like_diagnostic,Delta_H_cond_product,-4.5269904536418055,0.1339155670509163,0.014972215558563994,-4.554845447707567,-4.498229455560402,80
0.4,2400,identity_like_diagnostic,Delta_H_weighted_product,-4.520973584320365,0.13307896285292647,0.014878680365715647,-4.554148352334999,-4.487970058568747,80
0.4,2400,identity_like_diagnostic,Delta_H_recovery_product,-4.529029027421734,0.13448521848297454,0.01503590452484211,-4.55531158232039,-4.502406185009093,80
0.4,2400,identity_like_diagnostic,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.000325625,0.0004015625000000004,80
0.4,2400,identity_like_diagnostic,certified_transport_density_advantage,0.0,0.0,0.0,0.0,0.0,80
0.4,2400,joint_basin,Delta_R,-5.756427773841852,0.10602978590811388,0.011854490446514595,-5.779434644432869,-5.733505796916461,80
0.4,2400,joint_basin,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00027499999999999996,0.000375,80
0.4,2400,joint_basin,Delta_H_cond_product,-7.685048837914151,0.15900775067661158,0.017777606973112082,-7.712597070428524,-7.651340212727203,80
0.4,2400,joint_basin,Delta_H_weighted_product,-7.6753719666281155,0.15726031246720987,0.017582237441976945,-7.710885733993007,-7.638338510803205,80
0.4,2400,joint_basin,Delta_H_recovery_product,-7.685386016421345,0.1596276324362237,0.017846911860737325,-7.724729629082154,-7.64914823749898,80
0.4,2400,joint_basin,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.00041312499999999997,0.00035031250000000015,80
0.4,2400,joint_basin,certified_transport_density_advantage,0.7942567567567568,0.014729695598344682,0.0016468300322889074,0.7909468843843844,0.79807494994995,80
0.4,2400,random_kappa_matched,Delta_R,0.0007531423537686729,0.023949721236285224,0.002677660236325203,-0.004210740135742795,0.005739728890067132,80
0.4,2400,random_kappa_matched,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00030000000000000003,0.00035031250000000015,80
0.4,2400,random_kappa_matched,Delta_H_cond_product,-6.714267219411056,0.13796005759017083,0.015424403347570389,-6.743384779103295,-6.683906625739684,80
0.4,2400,random_kappa_matched,Delta_H_weighted_product,-6.705708780203297,0.13658135402463623,0.015270259602902554,-6.734990092318903,-6.680232152187353,80
0.4,2400,random_kappa_matched,Delta_H_recovery_product,-6.717804032333097,0.13850555771046505,0.015485392115105998,-6.746239590082222,-6.684565448650563,80
0.4,2400,random_kappa_matched,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.0003878125,0.0003256250000000002,80
0.4,2400,random_kappa_matched,certified_transport_density_advantage,2.5025025025014963e-05,0.0038455718452141876,0.0004299480029129111,-0.0008142517517517508,0.0008771271271271056,80
0.4,2400,relative_distance,Delta_R,0.0065042261404927625,0.006401812265690495,0.0007157443702637946,0.005249056571971766,0.007960205237090056,80
