alpha,T,kappa,seed,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.4,1500,identity_like_diagnostic,61,7.947544673895305,5.0757762587636215,0.7974831129073334,0.5093203017223172,0.3465982926851747
0.4,1500,all_one_diagnostic,61,7.947544673895305,5.0757762587636215,1.0,1.0,0.0
0.4,2400,center_of_mass,61,9.422736113009659,6.584805878957994,1.0,0.7571971911490116,0.12140140442549419
0.4,2400,relative_distance,61,9.422736113009659,6.584805878957994,0.9474100627278788,0.6620700480215287,0.19525994462529628
0.4,2400,joint_basin,61,9.422736113009659,6.584805878957994,1.0,0.9442112408804532,0.027894379559773474
0.4,2400,basin_transition_profile,61,9.422736113009659,6.584805878957994,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,61,9.422736113009659,6.584805878957994,1.0,1.0,0.0
0.4,2400,random_kappa_matched,61,9.422736113009659,6.584805878957994,1.0,0.8464551953227595,0.07677240233862026
0.4,2400,identity_like_diagnostic,61,9.422736113009659,6.584805878957994,0.9455087370807123,0.6607413617302943,0.19687495059449667
0.4,2400,all_one_diagnostic,61,9.422736113009659,6.584805878957994,1.0,1.0,0.0
0.4,3600,center_of_mass,61,9.927784284662089,7.887540244850635,1.0,0.8141648535189749,0.09291757324051253
0.4,3600,relative_distance,61,9.927784284662089,7.887540244850635,0.9961869533882564,0.7914620685689546,0.10617548902139451
0.4,3600,joint_basin,61,9.927784284662089,7.887540244850635,1.0,0.974073510806082,0.012963244596958967
0.4,3600,basin_transition_profile,61,9.927784284662089,7.887540244850635,1.0,1.0,0.0
0.4,3600,boundary_v2_regime_sequence,61,9.927784284662089,7.887540244850635,1.0,1.0,0.0
0.4,3600,random_kappa_matched,61,9.927784284662089,7.887540244850635,1.0,1.0,0.0
0.4,3600,identity_like_diagnostic,61,9.927784284662089,7.887540244850635,0.9961869533882564,0.7914620685689546,0.10617548902139451
0.4,3600,all_one_diagnostic,61,9.927784284662089,7.887540244850635,1.0,1.0,0.0
0.4,900,center_of_mass,65,5.97220574608201,3.714580230130481,1.0,0.7092233847051089,0.1453883076474456
0.4,900,relative_distance,65,5.97220574608201,3.714580230130481,0.7179457067443233,0.4465463920644535,0.4177539505956116
0.4,900,joint_basin,65,5.97220574608201,3.714580230130481,1.0,1.0,0.0
0.4,900,basin_transition_profile,65,5.97220574608201,3.714580230130481,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,65,5.97220574608201,3.714580230130481,1.0,1.0,0.0
0.4,900,random_kappa_matched,65,5.97220574608201,3.714580230130481,0.7933469385724994,0.49344429494734954,0.3566043832400756
0.4,900,identity_like_diagnostic,65,5.97220574608201,3.714580230130481,0.5992710232824904,0.372733356856563,0.5139978099304733
0.4,900,all_one_diagnostic,65,5.97220574608201,3.714580230130481,1.0,1.0,0.0
0.4,1500,center_of_mass,65,7.936321987090429,5.065279908191116,1.0,0.7440172463499827,0.12799137682500872
0.4,1500,relative_distance,65,7.936321987090429,5.065279908191116,0.8205103222361043,0.5236826903503256,0.32790349370678507
0.4,1500,joint_basin,65,7.936321987090429,5.065279908191116,1.0,1.0,0.0
0.4,1500,basin_transition_profile,65,7.936321987090429,5.065279908191116,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,65,7.936321987090429,5.065279908191116,1.0,1.0,0.0
0.4,1500,random_kappa_matched,65,7.936321987090429,5.065279908191116,1.0,0.6561349046089346,0.17193254769553268
0.4,1500,identity_like_diagnostic,65,7.936321987090429,5.065279908191116,0.7963569911205969,0.5082670629332077,0.3476879729730977
