alpha,T,kappa,seed,n_traj,macro_classes,singleton_fraction,estimator_warning
0.4,1500,boundary_v2_regime_sequence,8,1000,8.0,0.25,
0.4,1500,random_kappa_matched,8,1000,238.0,0.09663865546218488,
0.4,1500,identity_like_diagnostic,8,1000,999.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,8,1000,1.0,0.0,
0.4,2400,center_of_mass,8,1000,568.0,0.7235915492957746,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,8,1000,994.0,0.9949698189134809,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,8,1000,348.0,0.7241379310344828,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,8,1000,36.0,0.2777777777777778,
0.4,2400,boundary_v2_regime_sequence,8,1000,8.0,0.25,
0.4,2400,random_kappa_matched,8,1000,247.0,0.0931174089068826,
0.4,2400,identity_like_diagnostic,8,1000,999.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,8,1000,1.0,0.0,
0.4,3600,center_of_mass,8,1000,882.0,0.9206349206349206,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,8,1000,999.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,8,1000,557.0,0.8779174147217235,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,8,1000,49.0,0.2857142857142857,
0.4,3600,boundary_v2_regime_sequence,8,1000,9.0,0.3333333333333333,
0.4,3600,random_kappa_matched,8,1000,248.0,0.06854838709677419,
0.4,3600,identity_like_diagnostic,8,1000,999.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,8,1000,1.0,0.0,
0.4,900,center_of_mass,12,1000,98.0,0.2857142857142857,
0.4,900,relative_distance,12,1000,421.0,0.5154394299287411,
0.4,900,joint_basin,12,1000,32.0,0.3125,
0.4,900,basin_transition_profile,12,1000,16.0,0.25,
