alpha,T,kappa,seed,transport_survival,transport_entropy_change,certified_transport_density,transport_advantage_vs_shuffled
0.4,3600,basin_transition_profile,10,1.0,0.0,0.2902902902902903,0.2772772772772773
0.4,3600,boundary_v2_regime_sequence,10,1.0,0.0,0.028028028028028028,-0.7517517517517517
0.4,3600,random_kappa_matched,10,1.0,0.0,0.994994994994995,0.002002002002001957
0.4,3600,identity_like_diagnostic,10,1.0,0.0,1.0,0.0
0.4,3600,all_one_diagnostic,10,1.0,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,1,0.999,-0.004168106218042311,0.6346346346346347,0.00800800800800805
0.4,900,relative_distance,1,0.999,-0.0029932992849595053,0.995995995995996,-0.002002002002002068
0.4,900,joint_basin,1,0.999,-0.0026442090953660013,0.13813813813813813,0.1051051051051051
0.4,900,basin_transition_profile,1,0.999,-0.0010811546630340452,0.06906906906906907,0.050050050050050046
0.4,900,boundary_v2_regime_sequence,1,0.999,-0.004000858974646526,0.028028028028028028,-0.1051051051051051
0.4,900,random_kappa_matched,1,0.999,-0.0012020005707071846,0.9769769769769769,-0.012012012012012074
0.4,900,identity_like_diagnostic,1,0.999,-0.0014434168696677574,1.0,0.0
0.4,900,all_one_diagnostic,1,0.999,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,1,0.999,-0.004542901581507053,0.8908908908908909,0.03503503503503502
0.4,1500,relative_distance,1,0.999,-0.0017152767045427453,1.0,0.0
0.4,1500,joint_basin,1,0.999,-0.002171068366854101,0.4924924924924925,0.4494494494494494
0.4,1500,basin_transition_profile,1,0.999,0.00019024902785380604,0.14614614614614616,0.12812812812812813
0.4,1500,boundary_v2_regime_sequence,1,0.999,-0.004000858974646526,0.028028028028028028,-0.2772772772772773
0.4,1500,random_kappa_matched,1,0.999,0.0005090266096932083,0.995995995995996,0.004004004004004025
0.4,1500,identity_like_diagnostic,1,0.999,-0.0014434168696677574,1.0,0.0
0.4,1500,all_one_diagnostic,1,0.999,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,1,0.999,-0.0027778533669593486,0.992992992992993,0.027027027027027084
0.4,2400,relative_distance,1,0.999,-0.0014554288816785999,1.0,0.0
0.4,2400,joint_basin,1,0.999,-0.004426150916981619,0.8708708708708709,0.8148148148148149
0.4,2400,basin_transition_profile,1,0.999,-0.0008903148710457387,0.23923923923923923,0.2202202202202202
0.4,2400,boundary_v2_regime_sequence,1,0.999,-0.004000858974646526,0.028028028028028028,-0.5425425425425425
0.4,2400,random_kappa_matched,1,0.999,-0.00039328555232565066,0.994994994994995,0.009009009009009028
0.4,2400,identity_like_diagnostic,1,0.999,-0.0014434168696677574,1.0,0.0
0.4,2400,all_one_diagnostic,1,0.999,0.0,0.001001001001001001,0.0
0.4,3600,center_of_mass,1,0.999,-0.0017123282399911233,1.0,0.0010010010010009784
0.4,3600,relative_distance,1,0.999,-0.0014434168696677574,1.0,0.0
0.4,3600,joint_basin,1,0.999,-0.0032486001447846746,0.95995995995996,0.9029029029029029
0.4,3600,basin_transition_profile,1,0.999,0.0002588370717484523,0.2912912912912913,0.2752752752752753
0.4,3600,boundary_v2_regime_sequence,1,0.999,-0.004000858974646526,0.028028028028028028,-0.7567567567567567
0.4,3600,random_kappa_matched,1,0.999,0.0002959763136560767,0.987987987987988,-0.010010010010010006
0.4,3600,identity_like_diagnostic,1,0.999,-0.0014434168696677574,1.0,0.0
0.4,3600,all_one_diagnostic,1,0.999,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,9,1.0,0.0,0.6286286286286287,0.014014014014014031
0.4,900,relative_distance,9,1.0,0.0,0.992992992992993,-0.00700700700700696
0.4,900,joint_basin,9,1.0,0.0,0.15615615615615616,0.12212212212212212
0.4,900,basin_transition_profile,9,1.0,0.0,0.07407407407407407,0.05505505505505505
0.4,900,boundary_v2_regime_sequence,9,1.0,0.0,0.02702702702702703,-0.09309309309309309
0.4,900,random_kappa_matched,9,1.0,0.0,0.980980980980981,0.0
0.4,900,identity_like_diagnostic,9,1.0,0.0,1.0,0.0
0.4,900,all_one_diagnostic,9,1.0,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,9,1.0,0.0,0.8968968968968969,0.034034034034034044
0.4,1500,relative_distance,9,1.0,0.0,1.0,0.0
0.4,1500,joint_basin,9,1.0,0.0,0.4944944944944945,0.45245245245245247
0.4,1500,basin_transition_profile,9,1.0,0.0,0.14914914914914915,0.13613613613613612
0.4,1500,boundary_v2_regime_sequence,9,1.0,0.0,0.02902902902902903,-0.2752752752752753
0.4,1500,random_kappa_matched,9,1.0,0.0,0.994994994994995,0.006006006006005982
0.4,1500,identity_like_diagnostic,9,1.0,0.0,1.0,0.0
0.4,1500,all_one_diagnostic,9,1.0,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,9,1.0,0.0,0.991991991991992,0.013013013013012942
0.4,2400,relative_distance,9,1.0,0.0,1.0,0.0
0.4,2400,joint_basin,9,1.0,0.0,0.8288288288288288,0.7827827827827828
0.4,2400,basin_transition_profile,9,1.0,0.0,0.2032032032032032,0.19119119119119118
0.4,2400,boundary_v2_regime_sequence,9,1.0,0.0,0.02902902902902903,-0.5395395395395395
0.4,2400,random_kappa_matched,9,1.0,0.0,0.988988988988989,0.002002002002002068
0.4,2400,identity_like_diagnostic,9,1.0,0.0,1.0,0.0
0.4,2400,all_one_diagnostic,9,1.0,0.0,0.001001001001001001,0.0
