alpha,T,kappa,seed,p_viable_product,H_cond_product,H_weighted_product,H_recovery_product,component_estimator_note
0.4,3600,basin_transition_profile,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
0.4,3600,boundary_v2_regime_sequence,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
0.4,3600,random_kappa_matched,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
0.4,3600,identity_like_diagnostic,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
0.4,3600,all_one_diagnostic,6,0.999,16.998755971795326,16.98175721582353,17.00095723462183,H_A+H_B from basin/geometric component projections
0.4,900,center_of_mass,10,1.0,8.928099596789815,8.928099596789815,8.927443652309591,H_A+H_B from basin/geometric component projections
0.4,900,relative_distance,10,1.0,8.928099596789815,8.928099596789815,8.927443652309591,H_A+H_B from basin/geometric component projections
0.4,900,joint_basin,10,1.0,8.928099596789815,8.928099596789815,8.927443652309591,H_A+H_B from basin/geometric component projections
0.4,900,basin_transition_profile,10,1.0,8.928099596789815,8.928099596789815,8.927443652309591,H_A+H_B from basin/geometric component projections
0.4,900,boundary_v2_regime_sequence,10,1.0,8.928099596789815,8.928099596789815,8.927443652309591,H_A+H_B from basin/geometric component projections
0.4,900,random_kappa_matched,10,1.0,8.928099596789815,8.928099596789815,8.927443652309591,H_A+H_B from basin/geometric component projections
0.4,900,identity_like_diagnostic,10,1.0,8.928099596789815,8.928099596789815,8.927443652309591,H_A+H_B from basin/geometric component projections
