point_id,T,seed,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess
phase_003,100,1,0.5598813957253885,0.5578440738341969,0.5581755990932642,0.0017057966321243
phase_003,100,3,0.561943829113924,0.5599556962025316,0.560121835443038,0.001821993670886
phase_003,100,4,0.5616371994342291,0.5595999823196606,0.5599933698727015,0.0016438295615275
phase_003,100,5,0.5587839673913043,0.5565561594202899,0.5568161231884058,0.0019678442028985
phase_003,100,8,0.5563905502392344,0.5541126965140123,0.5543497949419002,0.0020407552973342
phase_003,100,6,0.5582560861423221,0.555935393258427,0.5562303370786517,0.0020257490636704
phase_003,100,7,0.5618533568904593,0.5597000883392227,0.5599037102473499,0.0019496466431094
phase_003,100,9,0.5577081925675675,0.5556976351351351,0.5559662162162162,0.0017419763513513
phase_003,100,10,0.5585088788300836,0.5563566330083566,0.5565598885793872,0.0019489902506963
phase_003,100,11,0.5534041302887844,0.5513557756883815,0.5516239926124916,0.0017801376762928
phase_003,100,12,0.5546695997239475,0.5527091959972396,0.5529347826086957,0.0017348171152518
phase_003,100,15,0.5604558876163206,0.5582171617752326,0.5585817823908374,0.0018741052254831
phase_003,100,14,0.5567656460296097,0.5547560565275909,0.5548725605652759,0.0018930854643337
phase_003,100,13,0.5588735612728505,0.5567924847664184,0.5569854434664862,0.0018881178063643
phase_003,100,16,0.5560406489881369,0.5540696964410328,0.5543972435450105,0.0016434054431263
phase_003,100,17,0.5553797577854671,0.5534450692041523,0.5537621107266436,0.0016176470588235
phase_003,100,19,0.5628810634328358,0.5606930970149254,0.561040578358209,0.0018404850746268
phase_003,100,18,0.5576786947513813,0.5554743611878453,0.5557506042817679,0.0019280904696133
phase_003,100,20,0.5620279160739687,0.559775960170697,0.5600515647226173,0.0019763513513514
phase_003,100,21,0.561034682596291,0.5587063124108417,0.5590843437945792,0.0019503388017118
phase_004,50,1,0.4637780504908836,0.4618066269284712,0.462257626227209,0.0015204242636746
phase_004,50,0,0.4652222124824685,0.463476507713885,0.4638394109396914,0.001382801542777
phase_004,50,2,0.4657060834502104,0.463945038569425,0.4640822230014025,0.0016238604488079
phase_004,50,3,0.4656081317910971,0.4638494567122327,0.4640023659305994,0.0016057658604977
phase_004,50,4,0.4660981799089954,0.4643782814140706,0.464631606580329,0.0014665733286663
phase_004,50,5,0.4716300734779565,0.4698740377886634,0.4700345521343597,0.0015955213435968
phase_003,100,22,0.5558502816020026,0.5539412546933667,0.5541016113892365,0.001748670212766
phase_003,100,23,0.5591354091888011,0.5571751615218952,0.5573941134242643,0.0017412957645368
