point_id,T,seed,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate
phase_005,100,23,2059.0,0.9999554142182752,0.0
phase_005,100,25,2003.0,0.9999923190342408,0.0
phase_005,100,24,2055.0,0.9998509502336976,0.0
phase_006,50,6,806.0,0.9998469926603356,0.0
phase_005,100,26,2010.0,0.9999689206305512,0.0
phase_006,50,7,719.0,0.9996728766749168,0.0
phase_006,50,9,597.0,0.9997395874792132,0.0
phase_006,50,8,697.0,0.9997920501631208,0.0
phase_006,50,10,774.0,0.9997024614731308,0.0
phase_006,50,11,689.0,0.9994067989538274,0.0
phase_005,100,29,1932.0,0.9999360394402756,0.0
phase_005,100,27,1942.0,0.9998857714465378,0.0
phase_006,50,12,766.0,0.9998350384220772,0.0
phase_005,100,28,2089.0,0.9999806961149412,0.0
phase_006,50,13,728.0,0.9999960250903432,0.0
phase_006,50,14,762.0,0.9999247693337336,0.0
phase_006,50,15,712.0,0.9998056984874046,0.0
phase_006,50,16,793.0,0.9999120777535716,0.0
phase_006,50,17,815.0,0.9990272591861532,0.0
phase_006,50,19,704.0,0.9996565012841788,0.0
phase_006,50,18,769.0,0.9997768659410486,0.0
phase_006,50,21,750.0,0.9997199543285146,0.0
phase_006,50,20,693.0,0.9999495819859716,0.0
phase_006,50,22,821.0,0.9998843535692042,0.0
phase_006,50,23,916.0,0.9997233454304916,0.0
phase_006,50,25,652.0,0.9997167312592554,0.0
phase_006,50,24,778.0,0.9995600647224948,0.0
phase_006,50,27,736.0,0.9995696439468192,0.0
phase_006,50,26,788.0,0.9997691415870756,0.0
phase_006,50,29,684.0,0.9997048003155804,0.0
phase_006,50,28,861.0,0.9997674056538042,0.0
phase_006,100,1,110.0,0.9993039839262654,0.0
phase_006,100,0,190.0,0.9988651270435404,0.0
phase_006,100,2,181.0,0.9999354204795848,0.0
phase_006,100,3,151.0,0.9989661215196362,0.0
phase_006,100,4,177.0,0.9995759576978266,0.0
phase_006,100,5,141.0,0.9991046726477688,0.0
phase_006,100,6,196.0,0.999081987904838,0.0
phase_006,100,8,161.0,0.99975499694933,0.0
phase_006,100,7,138.0,0.9981631372248952,0.0
phase_006,100,9,125.0,0.9986682401446694,0.0
phase_006,100,10,161.0,0.998509488868947,0.0
phase_006,100,12,161.0,0.9976817038743648,0.0
