point_id,T,seed,p_viable,survival_depth,collapse_rate
phase_004,100,27,0.9123333333333332,0.9123333333333332,0.0
phase_004,100,29,0.9013333333333332,0.9013333333333332,0.0
phase_004,100,28,0.9126666666666666,0.9126666666666666,0.0
phase_005,50,6,0.7936666666666666,0.7936666666666666,0.0
phase_005,50,7,0.8223333333333334,0.8223333333333334,0.0
phase_005,50,8,0.8246666666666667,0.8246666666666667,0.0003333333333332
phase_005,50,9,0.815,0.815,0.0
phase_005,50,11,0.8223333333333334,0.8223333333333334,0.0
phase_005,50,10,0.841,0.841,0.0
phase_005,50,12,0.8506666666666667,0.8506666666666667,0.0003333333333332
phase_005,50,14,0.828,0.828,0.0
phase_005,50,13,0.828,0.828,0.0
phase_005,50,15,0.8213333333333334,0.8213333333333334,0.0003333333333332
phase_005,50,16,0.8333333333333334,0.8333333333333334,0.0
phase_005,50,17,0.8346666666666667,0.8346666666666667,0.0
phase_005,50,18,0.8383333333333334,0.8383333333333334,0.0
phase_005,50,19,0.813,0.813,0.0
phase_005,50,20,0.8253333333333334,0.8253333333333334,0.0003333333333332
phase_005,50,21,0.809,0.809,0.0
phase_005,50,22,0.816,0.816,0.0
phase_005,50,23,0.8096666666666666,0.8096666666666666,0.0
phase_005,50,24,0.8386666666666667,0.8386666666666667,0.0
phase_005,50,25,0.8163333333333334,0.8163333333333334,0.0
phase_005,50,26,0.817,0.817,0.0
phase_005,50,27,0.827,0.827,0.0
phase_005,50,29,0.8146666666666667,0.8146666666666667,0.0
phase_005,50,28,0.8173333333333334,0.8173333333333334,0.0
phase_005,100,0,0.6553333333333333,0.6553333333333333,0.0003333333333332
phase_005,100,1,0.68,0.68,0.0
phase_005,100,2,0.658,0.658,0.0003333333333332
phase_005,100,3,0.7043333333333334,0.7043333333333334,0.0
phase_005,100,4,0.674,0.674,0.0003333333333332
phase_005,100,5,0.661,0.661,0.0
phase_005,100,6,0.668,0.668,0.0003333333333332
phase_005,100,7,0.658,0.658,0.0003333333333332
phase_005,100,8,0.651,0.651,0.0
phase_005,100,10,0.667,0.667,0.0003333333333332
phase_005,100,11,0.6796666666666666,0.6796666666666666,0.0
phase_005,100,9,0.7073333333333334,0.7073333333333334,0.0
phase_005,100,12,0.658,0.658,0.0
phase_005,100,14,0.664,0.664,0.0003333333333332
phase_005,100,13,0.6746666666666666,0.6746666666666666,0.0
phase_005,100,15,0.669,0.669,0.0
phase_005,100,16,0.688,0.688,0.0003333333333332
phase_005,100,17,0.6353333333333333,0.6353333333333333,0.0003333333333332
phase_006,50,0,0.2783333333333333,0.2783333333333333,0.0123333333333333
phase_006,50,1,0.26,0.26,0.0173333333333333
phase_006,50,3,0.2383333333333333,0.2383333333333333,0.0216666666666666
phase_006,50,2,0.2443333333333333,0.2443333333333333,0.0126666666666667
phase_006,50,4,0.2366666666666666,0.2366666666666666,0.018
phase_006,50,5,0.2843333333333333,0.2843333333333333,0.0153333333333333
phase_005,100,18,0.6853333333333333,0.6853333333333333,0.0
phase_005,100,19,0.658,0.658,0.0
phase_005,100,20,0.673,0.673,0.0
phase_005,100,22,0.6723333333333333,0.6723333333333333,0.0
phase_005,100,21,0.682,0.682,0.0
phase_005,100,23,0.6863333333333334,0.6863333333333334,0.0
phase_005,100,25,0.6676666666666666,0.6676666666666666,0.0
phase_005,100,24,0.685,0.685,0.0
phase_006,50,6,0.2686666666666666,0.2686666666666666,0.0173333333333333
phase_005,100,26,0.67,0.67,0.0003333333333332
phase_006,50,7,0.2396666666666666,0.2396666666666666,0.019
phase_006,50,9,0.199,0.199,0.0203333333333333
phase_006,50,8,0.2323333333333333,0.2323333333333333,0.0223333333333333
phase_006,50,10,0.258,0.258,0.02
phase_006,50,11,0.2296666666666666,0.2296666666666666,0.0183333333333333
phase_005,100,29,0.644,0.644,0.0
phase_005,100,27,0.6473333333333333,0.6473333333333333,0.0003333333333332
phase_006,50,12,0.2553333333333333,0.2553333333333333,0.0143333333333333
phase_005,100,28,0.6963333333333334,0.6963333333333334,0.0
phase_006,50,13,0.2426666666666666,0.2426666666666666,0.0186666666666667
phase_006,50,14,0.254,0.254,0.0176666666666667
phase_006,50,15,0.2373333333333333,0.2373333333333333,0.02
phase_006,50,16,0.2643333333333333,0.2643333333333333,0.0136666666666667
phase_006,50,17,0.2716666666666666,0.2716666666666666,0.0146666666666667
phase_006,50,19,0.2346666666666666,0.2346666666666666,0.0196666666666667
phase_006,50,18,0.2563333333333333,0.2563333333333333,0.024
phase_006,50,21,0.25,0.25,0.015
phase_006,50,20,0.231,0.231,0.019
phase_006,50,22,0.2736666666666666,0.2736666666666666,0.0146666666666667
phase_006,50,23,0.3053333333333333,0.3053333333333333,0.0136666666666667
phase_006,50,25,0.2173333333333333,0.2173333333333333,0.0243333333333333
phase_006,50,24,0.2593333333333333,0.2593333333333333,0.0176666666666667
phase_006,50,27,0.2453333333333333,0.2453333333333333,0.0186666666666667
phase_006,50,26,0.2626666666666666,0.2626666666666666,0.0163333333333333
phase_006,50,29,0.228,0.228,0.022
phase_006,50,28,0.287,0.287,0.0123333333333333
phase_006,100,1,0.0366666666666666,0.0366666666666666,0.0556666666666666
phase_006,100,0,0.0633333333333333,0.0633333333333333,0.0386666666666666
phase_006,100,2,0.0603333333333333,0.0603333333333333,0.0336666666666666
phase_006,100,3,0.0503333333333333,0.0503333333333333,0.04
phase_006,100,4,0.059,0.059,0.0406666666666666
phase_006,100,5,0.047,0.047,0.0483333333333333
phase_006,100,6,0.0653333333333333,0.0653333333333333,0.036
phase_006,100,8,0.0536666666666666,0.0536666666666666,0.0473333333333333
phase_006,100,7,0.046,0.046,0.046
phase_006,100,9,0.0416666666666666,0.0416666666666666,0.0416666666666666
phase_006,100,10,0.0536666666666666,0.0536666666666666,0.044
phase_006,100,12,0.0536666666666666,0.0536666666666666,0.0436666666666666
phase_006,100,11,0.0616666666666666,0.0616666666666666,0.0436666666666666
phase_006,100,14,0.0473333333333333,0.0473333333333333,0.049
phase_006,100,13,0.0603333333333333,0.0603333333333333,0.0343333333333333
phase_006,100,15,0.0526666666666666,0.0526666666666666,0.0456666666666666
phase_006,100,16,0.0526666666666666,0.0526666666666666,0.0446666666666666
phase_006,100,17,0.0553333333333333,0.0553333333333333,0.0443333333333333
phase_006,100,19,0.0543333333333333,0.0543333333333333,0.047
phase_006,100,18,0.054,0.054,0.041
phase_006,100,20,0.049,0.049,0.0366666666666666
phase_006,100,21,0.0586666666666666,0.0586666666666666,0.0426666666666666
phase_006,100,22,0.0726666666666666,0.0726666666666666,0.0336666666666666
phase_007,50,0,0.8733333333333333,0.8733333333333333,0.0
phase_007,50,1,0.8783333333333333,0.8783333333333333,0.0
phase_007,50,2,0.8683333333333333,0.8683333333333333,0.0
phase_007,50,3,0.8763333333333333,0.8763333333333333,0.0
phase_007,50,4,0.8723333333333333,0.8723333333333333,0.0
phase_007,50,5,0.8753333333333333,0.8753333333333333,0.0
phase_006,100,23,0.0643333333333333,0.0643333333333333,0.0396666666666666
phase_006,100,24,0.041,0.041,0.0473333333333333
phase_006,100,26,0.067,0.067,0.033
phase_006,100,25,0.0506666666666666,0.0506666666666666,0.0453333333333333
phase_006,100,27,0.0626666666666666,0.0626666666666666,0.038
phase_006,100,28,0.0546666666666666,0.0546666666666666,0.032
phase_006,100,29,0.0586666666666666,0.0586666666666666,0.0446666666666666
phase_007,50,7,0.869,0.869,0.0
phase_007,50,6,0.8803333333333333,0.8803333333333333,0.0
phase_007,50,8,0.865,0.865,0.0
phase_007,50,9,0.8883333333333333,0.8883333333333333,0.0
phase_007,50,10,0.8766666666666667,0.8766666666666667,0.0003333333333332
phase_007,50,11,0.8763333333333333,0.8763333333333333,0.0
phase_007,50,12,0.8656666666666667,0.8656666666666667,0.0
phase_007,50,14,0.8643333333333333,0.8643333333333333,0.0
phase_007,50,13,0.881,0.881,0.0
phase_007,50,15,0.8813333333333333,0.8813333333333333,0.0
phase_007,50,16,0.8953333333333333,0.8953333333333333,0.0
phase_007,50,17,0.8686666666666667,0.8686666666666667,0.0
phase_007,50,18,0.8853333333333333,0.8853333333333333,0.0
phase_007,50,20,0.856,0.856,0.0
phase_007,50,19,0.8703333333333333,0.8703333333333333,0.0
phase_007,50,21,0.8926666666666667,0.8926666666666667,0.0
phase_007,50,22,0.8766666666666667,0.8766666666666667,0.0
phase_007,50,23,0.8863333333333333,0.8863333333333333,0.0
phase_007,50,25,0.8696666666666667,0.8696666666666667,0.0
phase_007,50,24,0.8533333333333334,0.8533333333333334,0.0
phase_007,50,27,0.8573333333333333,0.8573333333333333,0.0
phase_007,50,26,0.8723333333333333,0.8723333333333333,0.0
phase_007,50,28,0.892,0.892,0.0
phase_007,50,29,0.8816666666666667,0.8816666666666667,0.0
phase_007,100,0,0.764,0.764,0.0
phase_007,100,3,0.7636666666666667,0.7636666666666667,0.0
phase_007,100,1,0.7706666666666667,0.7706666666666667,0.0
phase_007,100,2,0.7643333333333333,0.7643333333333333,0.0
phase_007,100,4,0.749,0.749,0.0
