point_id,T,seed,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index
phase_003,100,11,0.3034041302887844,0.0006715916722632,0.073125,8.713883246380671e-05,7.627667112467626e-07
phase_003,100,12,0.3046695997239475,0.0006901311249137,0.071875,2.1285068051324352e-05,7.601044079856661e-07
phase_003,100,15,0.3104558876163207,0.0007158196134574,0.07,6.944321544932741e-05,7.932388416237472e-07
phase_003,100,14,0.3067656460296097,0.0006729475100942,0.06,5.261050597960004e-05,6.301722974048491e-07
phase_003,100,13,0.3088735612728503,0.0006770480704129,0.065625,0.0002015462723878,7.283301881112084e-07
phase_003,100,16,0.3060406489881367,0.0006978367062107,0.075,4.142889214975298e-05,8.097218135002671e-07
phase_003,100,17,0.3053797577854671,0.0006920415224913,0.06625,0.0001812008863875,7.383429276539031e-07
phase_003,100,19,0.3128810634328358,0.0007462686567164,0.085,0.000127502607275,1.0221176648837436e-06
phase_003,100,18,0.3076786947513812,0.0006906077348066,0.0675,6.790664058520246e-05,7.315670036782582e-07
phase_003,100,20,0.3120279160739687,0.0007112375533428,0.078125,4.290329182132791e-05,8.764196812970574e-07
phase_003,100,21,0.311034682596291,0.0007132667617689,0.093125,0.0001113573406634,1.057697029919409e-06
phase_004,50,1,0.2137780504908835,0.0003506311360448,0.08625,3.5345161357058785e-05,3.2590247630825144e-07
phase_004,50,0,0.2152222124824684,0.0003506311360448,0.07,2.9406228882811192e-05,2.663417311814741e-07
phase_004,50,2,0.2157060834502104,0.0003506311360448,0.07,1.733628195288439e-05,2.660276414997832e-07
phase_004,50,3,0.215608131791097,0.0003505082369435,0.0925,4.033064511466122e-05,3.525703556189716e-07
phase_004,50,4,0.2160981799089954,0.000350017500875,0.09125,6.004154585959043e-06,3.4555317910840376e-07
phase_004,50,5,0.2216300734779566,0.0003498950314905,0.085,2.1511877611013475e-05,3.312440487392909e-07
phase_003,100,22,0.3058502816020025,0.0006257822277847,0.076875,0.0001057231757729,7.55912066952261e-07
phase_003,100,23,0.3091354091888011,0.0007178750897343,0.0725,1.253868172246264e-05,8.072448017332131e-07
phase_003,100,25,0.3080018248175182,0.0007299270072992,0.07625,0.0001294449243474,8.862235255687272e-07
phase_003,100,24,0.3132601351351352,0.0006930006930006,0.083125,0.0001334586666823,9.312506698650548e-07
phase_003,100,26,0.310162636239782,0.0006811989100817,0.074375,9.320640481846888e-05,8.053994875678596e-07
phase_003,100,29,0.3112035739313245,0.0007007708479327,0.088125,4.314145880390807e-05,9.703339339868853e-07
phase_003,100,27,0.3095621339677891,0.0007320644216691,0.071875,0.0001255586187858,8.428675790015597e-07
phase_003,100,28,0.3066220522625876,0.0006373486297004,0.06375,3.217729377613665e-06,6.235464744247212e-07
phase_004,50,6,0.2163470619097586,0.0003497726477789,0.08375,3.766497240520472e-05,3.197278866260555e-07
phase_004,50,7,0.2176071922544952,0.0003457814661134,0.0675,1.8016053605851567e-05,2.5530591172185245e-07
phase_004,50,8,0.2151249114103472,0.0003543586109142,0.085,7.193826168139239e-05,3.294672521846917e-07
phase_004,50,9,0.2140664280726257,0.0003491620111731,0.08125,8.110884600220913e-05,3.0970933833583365e-07
phase_004,50,10,0.2167151366503153,0.0003503854239663,0.09375,1.3507059722694947e-05,3.569654475619836e-07
phase_004,50,12,0.2178811029153494,0.0003512469265893,0.10875,2.767178780616053e-05,4.182499672458936e-07
phase_004,50,11,0.2182919145957297,0.000350017500875,0.10875,3.996874088463276e-05,4.185114240762926e-07
phase_004,50,14,0.2180340869260427,0.0003505082369435,0.1025,4.069051452648687e-05,3.947762406860507e-07
phase_004,50,13,0.2165561403508772,0.0003508771929824,0.09,7.242356055758847e-06,3.424810555275191e-07
phase_004,50,15,0.2145639229422066,0.0003502626970227,0.08625,8.735546533356064e-06,3.247570055416838e-07
