rule,ic_family,T,ring_size,motif_type,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index
145,two_cell_seed,256,512,emitter,False,0.6812834387159533,0.376953125,0.7765277523357597,0.0,0.0,0.0,0.0,0.0,260.0,260.0,1.0,0.6488047453882402,1.0,0.607421875,1.015625,0.646484375,0.0078125,0.0,1.0,0.6812834387159533,0.3187165612840467,22.203966276212558,0.0,0.0,0.0,0.0,0.7765277523357597,0.58203125,0.41796875,0.2766274156103107,0.577755529327326
145,short_random_block,256,256,global_periodic_artifact,False,0.5124049205260518,0.376983642578125,0.8852450123498902,0.0,0.0,0.0,0.0,0.875,260.0,260.0,1.0,0.7774453378404623,1.0,0.767608642578125,1.015625,0.6002197265625,0.002899169921875,3.0,1.0,0.5124049205260518,0.4875950794739482,158.21900305631317,0.0,0.875,0.0,0.0,0.8852450123498902,0.5814208984375,0.4185791015625,0.5435381928175732,0.5553564299162974
145,two_cell_seed,512,256,global_periodic_artifact,False,0.45048276072124754,0.37890625,0.9103079701149867,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.6099082001884876,1.0,0.83203125,1.0078125,0.66796875,-0.00390625,3.0,1.0,0.45048276072124754,0.5495172392787524,312.3737335868512,0.0,1.0,0.0,0.0,0.9103079701149867,0.5859375,0.4140625,0.6523156335832088,0.5592650228143914
145,single_seed,512,512,global_periodic_artifact,False,0.5289199561403509,0.375,0.8645487946000674,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.6734178171206763,1.0,0.66796875,1.0078125,0.50390625,-0.01171875,3.0,1.0,0.5289199561403509,0.4710800438596491,999999999.9999999,0.0,1.0,0.0,0.0,0.8645487946000674,0.58203125,0.41796875,0.5272907657713021,0.5555104157649209
145,bernoulli_050,512,512,global_periodic_artifact,False,0.3639286033823709,0.363128662109375,0.9445491889517792,0.0,0.0,0.0,0.0,0.81640625,383.578125,516.0,1.0,0.6857096909343511,0.921875,0.8287811279296875,1.0078125,0.6311492919921875,-0.0030670166015625,3.0,1.0,0.3639286033823709,0.6360713966176291,66.20154173212555,0.0,0.81640625,0.0,0.0,0.9445491889517792,0.6232452392578125,0.3767547607421875,0.831635661854408,0.5857289369599494
145,bernoulli_025,512,512,global_periodic_artifact,False,0.3643530535186708,0.3602752685546875,0.9445352385514229,0.0,0.0,0.0,0.0,0.84765625,385.890625,516.0,1.0,0.6780302217060433,0.921875,0.8361892700195312,1.0078125,0.6337356567382812,-0.0037384033203125,3.0,1.0,0.3643530535186708,0.6356469464813292,65.36052940931967,0.0,0.84765625,0.0,0.0,0.9445352385514229,0.6242828369140625,0.3757171630859375,0.8318948986920509,0.5871807752181312
145,periodic_perturbation,256,256,global_periodic_artifact,False,0.7374585222177469,0.66064453125,0.4758704113887465,0.0,0.0,0.45703125,0.45703125,1.0,143.0,260.0,1.0,0.5924986683821297,0.54296875,0.9087982177734375,1.015625,0.3626861572265625,-0.024322509765625,3.0,0.54296875,0.7374585222177469,0.2625414777822531,1.743902784525412,0.45703125,1.0,0.45703125,0.45703125,0.4758704113887465,0.31390380859375,0.68609619140625,0.3003585234473636,0.16267369192453493
145,single_seed,1024,256,global_periodic_artifact,False,0.41221036585365856,0.375,0.9313653929814749,0.0,0.0,0.0,0.0,1.0,1028.0,1028.0,1.0,0.6658563455631374,1.0,0.84375,1.00390625,0.6640625,0.001953125,3.0,1.0,0.41221036585365856,0.5877896341463414,545.2250830935068,0.0,1.0,0.0,0.0,0.9313653929814749,0.5859375,0.4140625,0.7192618022811016,0.5586822347515021
145,short_random_block,256,512,emitter,False,0.6672732579568944,0.37575531005859375,0.7963940514904438,0.0,0.0,0.0,0.0,0.0,260.0,260.0,1.0,0.7806609443707132,1.0,0.6153411865234375,1.015625,0.6474761962890625,0.0078125,0.0,1.0,0.6672732579568944,0.3327267420431056,22.83392260412818,0.0,0.0,0.0,0.0,0.7963940514904438,0.582733154296875,0.417266845703125,0.2939985265440761,0.5758367732045544
145,bernoulli_025,1024,256,global_periodic_artifact,False,0.36219635754096796,0.363525390625,0.9424694239397363,0.0,0.0,0.0,0.0,0.9453125,960.578125,1028.0,1.0,0.6241881754223935,0.96484375,0.91912841796875,1.00390625,0.570465087890625,0.00128936767578125,3.0,1.0,0.36219635754096796,0.6378036424590321,44.532973282772254,0.0,0.9453125,0.140625,0.04921875,0.9424694239397363,0.60955810546875,0.39044189453125,0.8450735882481951,0.5736576201161465
145,short_random_block,512,256,global_periodic_artifact,False,0.4444073831361172,0.3729248046875,0.9198038891596237,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.7250144810727652,1.0,0.803558349609375,1.0078125,0.650970458984375,-0.00408935546875,3.0,1.0,0.4444073831361172,0.5555926168638827,161.35114419293012,0.0,1.0,0.0,0.0,0.9198038891596237,0.58251953125,0.41748046875,0.6578936184284001,0.5561227858722892
145,bernoulli_050,1024,256,global_periodic_artifact,False,0.3590720869855183,0.3547210693359375,0.9401347285561946,0.0,0.0,0.0,0.0,0.90625,961.84375,1028.0,1.0,0.5858209295510795,0.97265625,0.9309844970703125,1.00390625,0.5087738037109375,0.000457763671875,3.0,1.0,0.3590720869855183,0.6409279130144817,46.300301724260535,0.0,0.90625,0.23828125,0.08339843749999999,0.9401347285561946,0.616912841796875,0.383087158203125,0.8589843775162932,0.5783467712859555
145,periodic_perturbation,256,512,travelling_identity,True,0.8268833383048091,0.6693801879882812,0.41509553945222744,0.0,0.0,0.47265625,0.47265625,0.47265625,139.0,260.0,1.0,0.5886034023946441,0.52734375,0.7929763793945312,1.015625,0.34091949462890625,-0.025421142578125,0.0,0.52734375,0.8268833383048091,0.1731166616951909,1.8975104893081223,0.47265625,0.47265625,0.47265625,0.47265625,0.41509553945222744,0.3069305419921875,0.6930694580078125,0.15928017063757763,0.16055371360512968
145,g0_motif_seed,256,256,global_periodic_artifact,False,0.4899987840466926,0.3671875,0.9031129141180196,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.0,0.6534077254175397,1.0,0.6953125,1.015625,0.5,0.0078125,3.0,1.0,0.4899987840466926,0.5100012159533074,511.99973785613423,0.0,1.0,0.0,0.0,0.9031129141180196,0.59375,0.40625,0.591892307455263,0.5640684111246042
145,periodic_perturbation,512,256,global_periodic_artifact,False,0.6519724825437073,0.6093902587890625,0.5753561244167691,0.0,0.0,0.37109375,0.37109375,1.0,326.0,516.0,1.0,0.5943120585977629,0.62890625,0.8943634033203125,1.0078125,0.4200897216796875,-0.0140533447265625,3.0,0.62890625,0.6519724825437073,0.3480275174562927,2.083042715930838,0.37109375,1.0,0.37109375,0.37109375,0.5753561244167691,0.368499755859375,0.631500244140625,0.41676292399597403,0.22120221949374408
