world,T,n_sites,seed,p_viable,viable_future_entropy,viability_weighted_richness,noncollapse_diversity,state_diversity,distinction_entropy,distinction_survival,nontrivial_future_classes
W3_relation_only,100,16,8,0.984,10.898431737299523,10.724056829502732,1.0,1.0,0.9994880140730892,1.0,1925.0
W3_relation_only,100,16,9,0.9805,10.876430538700903,10.664340143196238,0.99975,0.99975,0.9992956168492833,0.99975,1902.0
W3_relation_only,100,16,10,0.9745,10.878875026103366,10.601463712937733,1.0,1.0,0.9996607318499632,1.0,1902.0
W3_relation_only,100,16,11,0.978,10.87259158797661,10.633394573041125,1.0,1.0,0.9997484341352711,1.0,1897.0
W3_relation_only,100,16,12,0.9775,10.87936982953376,10.634584008369252,0.9995,0.9995,0.999686904990215,0.9995,1903.0
W3_relation_only,100,16,13,0.9765,10.881161506540916,10.625454211137203,1.0,1.0,0.9994405494296336,1.0,1905.0
W3_relation_only,100,16,15,0.982,10.886241695219908,10.690289344705947,1.0,1.0,0.9997036737635102,1.0,1912.0
W3_relation_only,100,16,14,0.9805,10.874775713357796,10.66271758694732,1.0,1.0,0.9995076903695094,1.0,1900.0
W4_distinction_asymmetry,50,16,0,0.998,10.93145568093738,10.909592769575504,1.0,1.0,0.9996564212999988,1.0,1965.0
W4_distinction_asymmetry,50,16,1,0.997,10.931359423585755,10.898565345315,1.0,1.0,0.9995647018978236,1.0,1964.0
W4_distinction_asymmetry,50,16,3,0.998,10.931833881088764,10.909970213326586,1.0,1.0,0.9996703926685996,1.0,1965.0
W4_distinction_asymmetry,50,16,2,0.9975,10.936107868202436,10.90876759853193,1.0,1.0,0.9997343349464084,1.0,1969.0
W3_relation_only,100,16,16,0.976,10.874636018400835,10.613644753959216,0.99975,0.99975,0.999841874679214,0.99975,1898.0
W3_relation_only,100,16,17,0.9775,10.878983697819098,10.63420656461817,1.0,1.0,0.9996541796375248,1.0,1903.0
W3_relation_only,100,16,18,0.9825,10.874789481368786,10.684480665444832,0.9995,0.9995,0.9995782001303192,0.9995,1901.0
W3_relation_only,100,16,19,0.9785,10.8839656555976,10.649960394002251,0.99975,0.99975,0.9995383395139372,1.00025,1908.0
W4_distinction_asymmetry,50,16,4,0.998,10.93483989311281,10.912970213326584,1.0,1.0,0.99991591443506,1.0,1968.0
W4_distinction_asymmetry,50,16,5,0.999,10.940316843768391,10.929376526924624,1.0,1.0,0.9997469510955176,1.0,1974.0
W4_distinction_asymmetry,50,16,6,1.0,10.926784284662087,10.926784284662087,1.0,1.0,0.9996031020884631,1.0,1961.0
W4_distinction_asymmetry,50,16,7,0.9995,10.943051751241876,10.937580225366254,1.0,1.0,0.999734233658438,1.0,1977.0
W4_distinction_asymmetry,50,16,9,0.999,10.923299826751377,10.912376526924623,0.99975,0.99975,0.999802279725011,0.99975,1957.0
W4_distinction_asymmetry,50,16,8,0.998,10.926823861048682,10.904970213326584,1.0,1.0,0.9997265660405156,1.0,1960.0
W4_distinction_asymmetry,50,16,10,0.998,10.930831877080749,10.908970213326583,1.0,1.0,0.9995986983574798,1.0,1964.0
W4_distinction_asymmetry,50,16,11,0.9975,10.929090324342788,10.901767598531931,1.0,1.0,0.9994151510203252,1.0,1962.0
W4_distinction_asymmetry,50,16,12,0.998,10.938847909144876,10.916970213326586,1.0,1.0,0.9997041953776548,1.0,1972.0
W4_distinction_asymmetry,50,16,13,0.999,10.923545184607068,10.91262163942246,1.0,1.0,0.9996853536296644,1.0,1958.0
W4_distinction_asymmetry,50,16,14,0.9985,10.93557655434933,10.919173189517808,1.0,1.0,0.9995350475412538,1.0,1969.0
W4_distinction_asymmetry,50,16,17,0.9975,10.929714440883057,10.90239015478085,1.0,1.0,0.999641198373777,1.0,1963.0
W4_distinction_asymmetry,50,16,16,0.9985,10.92756453632229,10.911173189517807,1.0,1.0,0.9995576916554656,1.0,1961.0
W4_distinction_asymmetry,50,16,15,0.998,10.938847909144876,10.916970213326586,1.0,1.0,0.9992892152195852,1.0,1972.0
W4_distinction_asymmetry,50,16,19,0.998,10.936843901128842,10.914970213326583,1.0,1.0,0.9996710898863888,1.0,1970.0
W4_distinction_asymmetry,50,16,18,0.999,10.93531183876339,10.924376526924627,1.0,1.0,0.9992341607915612,1.0,1969.0
W4_distinction_asymmetry,100,16,0,0.997,10.926968807987883,10.89418790156392,1.0,1.0,0.9995665709253948,1.0,1960.0
W4_distinction_asymmetry,100,16,1,0.9975,10.930092830608451,10.90276759853193,1.0,1.0,0.9995127498041254,1.0,1963.0
W4_distinction_asymmetry,100,16,3,0.997,10.92496278993372,10.892187901563918,1.0,1.0,0.9998283501406032,1.0,1958.0
W4_distinction_asymmetry,100,16,4,0.9975,10.926082805545796,10.898767598531933,1.0,1.0,0.9997565840789286,1.0,1959.0
W4_distinction_asymmetry,100,16,2,0.997,10.92496278993372,10.892187901563918,1.0,1.0,0.9995943311071313,1.0,1958.0
W4_distinction_asymmetry,100,16,6,0.998,10.940851917160908,10.918970213326586,1.0,1.0,0.9995092912664414,1.0,1974.0
W4_distinction_asymmetry,100,16,5,0.997,10.930356414558675,10.897565345315002,1.0,1.0,0.9997478940484864,1.0,1963.0
W4_distinction_asymmetry,100,16,7,0.997,10.925341369423272,10.892565345315004,1.0,1.0,0.9997128167396044,1.0,1958.0
W4_distinction_asymmetry,100,16,8,0.9955,10.931150936157463,10.881960756944755,1.0,1.0,0.999532954714072,1.0,1963.0
W4_distinction_asymmetry,100,16,9,0.995,10.928401961662171,10.87375995185386,1.0,1.0,0.99973081405532,1.0,1960.0
W4_distinction_asymmetry,100,16,10,0.9965,10.92560306458316,10.88736345385712,1.0,1.0,0.99946505309434,1.0,1958.0
W4_distinction_asymmetry,100,16,12,0.9965,10.92560306458316,10.88736345385712,1.0,1.0,0.9998068292386212,1.0,1958.0
W4_distinction_asymmetry,100,16,11,0.9965,10.927610089169214,10.889363453857122,1.0,1.0,0.9996468044076792,1.0,1960.0
W4_distinction_asymmetry,100,16,14,0.998,10.930831877080749,10.908970213326583,1.0,1.0,0.9996539039131268,1.0,1964.0
W4_distinction_asymmetry,100,16,15,0.9965,10.92861360146224,10.89036345385712,0.99975,0.99975,0.9996930696996432,0.99975,1961.0
W4_distinction_asymmetry,100,16,13,0.997,10.923335351369108,10.890565345315,1.0,1.0,0.999790600517489,1.0,1956.0
W5_distinction_relation,50,16,0,0.9885,10.896740162808456,10.77142765093616,1.0,1.0,0.9995040580254436,1.0005,1926.0
W5_distinction_relation,50,16,2,0.989,10.900281715814724,10.780378616940762,0.99975,0.99975,0.9996896214593268,0.99975,1929.0
W5_distinction_relation,50,16,1,0.989,10.892192737048294,10.772378616940763,1.0,1.0,0.9996374781809416,1.0005,1921.0
W5_distinction_relation,50,16,3,0.988,10.893577422623904,10.762854493552416,0.99975,0.99975,0.9996164518920048,0.99975,1923.0
W4_distinction_asymmetry,100,16,16,0.9975,10.927085311811458,10.89976759853193,1.0,1.0,0.9997913295751608,1.0,1960.0
W4_distinction_asymmetry,100,16,18,0.999,10.930306833758385,10.919376526924625,1.0,1.0,0.9995910298187252,1.0,1964.0
W4_distinction_asymmetry,100,16,17,0.9955,10.915703981108663,10.866583313193678,1.0,1.0,0.999669935435435,1.0005,1948.0
W4_distinction_asymmetry,100,16,19,0.997,10.927971817014964,10.89518790156392,1.0,1.0,0.9999055441225244,1.0,1961.0
W5_distinction_relation,50,16,5,0.989,10.905337327543744,10.78537861694076,0.9995,0.9995,0.9996869694337928,0.9995,1934.0
W5_distinction_relation,50,16,6,0.9855,10.898035247243383,10.740013736158357,1.0,1.0,0.9997096622363636,1.0,1925.0
W5_distinction_relation,50,16,4,0.9905,10.91061992914996,10.806969039823036,0.9995,0.9995,0.9997335151235922,0.9995,1940.0
W5_distinction_relation,50,16,7,0.986,10.892954092460908,10.740452735166455,0.99925,0.99925,0.9996365966595826,0.99925,1921.0
W5_distinction_relation,50,16,8,0.988,10.911929984621114,10.78098682480566,1.0,1.0,0.9998644686539012,1.0,1940.0
W5_distinction_relation,50,16,9,0.989,10.905337327543744,10.78537861694076,1.0,1.0,0.9995630613276336,1.0,1934.0
W5_distinction_relation,50,16,10,0.9905,10.89269475246933,10.789214152320872,1.0,1.0,0.9998647399555192,1.0,1923.0
W5_distinction_relation,50,16,11,0.9935,10.90403594587574,10.833159712227548,1.0,1.0,0.99977815778407,1.0,1935.0
W5_distinction_relation,50,16,12,0.9895,10.901665099926664,10.787197616377432,0.99975,0.99975,0.9995942992136196,0.99975,1931.0
W5_distinction_relation,50,16,14,0.9885,10.902809965539868,10.77742765093616,0.99975,0.99975,0.9995884739884008,0.99975,1932.0
W5_distinction_relation,50,16,13,0.993,10.902769972982224,10.826450583171347,1.0,1.0,0.9998346182729064,1.0,1935.0
W5_distinction_relation,50,16,15,0.989,10.898259471123117,10.778378616940762,1.0,1.0,0.9997440231572768,1.0,1927.0
W5_distinction_relation,50,16,16,0.989,10.896866706966309,10.77700117318968,0.99975,0.99975,0.9995678225749928,0.99975,1926.0
W5_distinction_relation,50,16,17,0.9885,10.892063828717491,10.766805094687244,1.0,1.0,0.999299659697082,1.0,1921.0
W5_distinction_relation,50,16,19,0.989,10.895226104085705,10.77537861694076,1.0,1.0,0.9995709375183504,1.0,1924.0
W5_distinction_relation,50,16,18,0.988,10.89458956837289,10.763854493552415,0.99975,0.99975,0.9993830382652896,0.99975,1924.0
W5_distinction_relation,100,16,0,0.9765,10.88359616476015,10.627831654888286,0.9995,0.9995,0.9997160350084896,0.9995,1907.0
W5_distinction_relation,100,16,1,0.9835,10.887892070951636,10.708241851780937,0.99975,0.99975,0.9997584407733546,0.99975,1914.0
W5_distinction_relation,100,16,2,0.98,10.870946669868816,10.65352773647144,1.0,1.0,0.9997878115279766,1.0,1896.0
W5_distinction_relation,100,16,3,0.981,10.903450814496512,10.69628524902108,1.0,1.0,0.9995243798985028,1.0,1928.0
W5_distinction_relation,100,16,4,0.979,10.88983568928594,10.661149139810934,1.0,1.0,0.9994230803963806,1.0,1914.0
W5_distinction_relation,100,16,5,0.976,10.886544375213251,10.625267310208134,0.99975,0.99975,0.9994003933702104,0.99975,1910.0
