condition,kappa,alpha,T,seed,singleton_fraction,small_fiber_fraction,component_balance,viable_propagation_index,estimator_warning
independent_alpha0,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,0.998703734042413,0.9912259398337704,
independent_alpha0,basin_transition_profile,0.5,900,2,0.1,0.3,0.8177009389626183,0.718845474567296,
endpoint_fakeout,center_of_mass,0.5,900,2,0.0,0.0,0.7126120047252804,0.3393908363435127,
endpoint_fakeout,component_A_only,0.5,900,2,0.0588235294117647,0.1176470588235294,0.506989188787183,0.0033588348004148,
endpoint_fakeout,component_B_only,0.5,900,2,0.0,0.0,0.7760252758565958,0.7667153473611175,
endpoint_fakeout,time_shuffled_COM,0.5,900,2,0.0,0.0,0.7126120047252804,0.3282037313661386,
endpoint_fakeout,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.5257723905322568,0.5257723905322568,
endpoint_fakeout,hash_high_cardinality,0.5,900,2,0.3537762634866553,0.7308347529812607,0.1552967834871457,0.0,
endpoint_fakeout,joint_basin,0.5,900,2,0.0,0.0,1.0,0.9843534764920624,
endpoint_fakeout,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,0.9903327028137772,
endpoint_fakeout,basin_transition_profile,0.5,900,2,0.0,0.0454545454545454,0.5537509829800539,0.5219426757460921,
rigid_collapse,center_of_mass,0.5,900,2,0.0,0.0,1.0,1.0,
rigid_collapse,component_A_only,0.5,900,2,0.0,0.0,0.4764773819260533,0.0,
rigid_collapse,component_B_only,0.5,900,2,0.0,0.0,0.7513008204359181,0.7513008204359181,
rigid_collapse,time_shuffled_COM,0.5,900,2,0.0,0.0,1.0,1.0,
rigid_collapse,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.8631664978634629,0.8631664978634629,
rigid_collapse,hash_high_cardinality,0.5,900,2,0.0625,0.25,0.217070003906564,0.0,
rigid_collapse,joint_basin,0.5,900,2,0.0,0.0,1.0,1.0,
rigid_collapse,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,1.0,
rigid_collapse,basin_transition_profile,0.5,900,2,0.0,0.0,0.6690611171495728,0.6690611171495728,
delayed_trap,center_of_mass,0.5,900,2,0.0,0.0,0.585308028572589,0.3373311723903379,
delayed_trap,component_A_only,0.5,900,2,0.0625,0.125,0.4723849116119856,0.0,
delayed_trap,component_B_only,0.5,900,2,0.0,0.1428571428571428,0.7478792019103042,0.7448839427181523,
delayed_trap,time_shuffled_COM,0.5,900,2,0.0,0.0,0.585308028572589,0.2953419542169484,
delayed_trap,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.3809713393117777,0.3809713393117777,
delayed_trap,hash_high_cardinality,0.5,900,2,0.4188034188034188,0.8034188034188035,0.1536912849120791,0.0,
delayed_trap,joint_basin,0.5,900,2,0.0,0.0,0.9909205876152828,0.9853007506542104,
delayed_trap,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,0.993162176055518,
delayed_trap,basin_transition_profile,0.5,900,2,0.1111111111111111,0.3888888888888889,0.5171670435992975,0.4525112687058581,
noise_fakeout,center_of_mass,0.5,900,2,0.0434782608695652,0.217391304347826,1.0,0.0420488533047623,
noise_fakeout,component_A_only,0.5,900,2,0.0967741935483871,0.1612903225806451,0.8787230617229354,0.0211367015019884,
noise_fakeout,component_B_only,0.5,900,2,0.064516129032258,0.1935483870967742,0.8853013958433247,0.0242933342879371,
noise_fakeout,time_shuffled_COM,0.5,900,2,0.0434782608695652,0.217391304347826,1.0,0.0368187363661713,
noise_fakeout,random_balanced_k_COM_cardinality,0.5,900,2,0.0,0.0,0.8788814504826759,0.8788814504826759,
noise_fakeout,hash_high_cardinality,0.5,900,2,0.6414964425063117,0.9763598806518248,0.2818864532123715,0.0,
noise_fakeout,joint_basin,0.5,900,2,0.0,0.0,1.0,1.0,
noise_fakeout,boundary_v2_regime_sequence,0.5,900,2,0.0,0.0,1.0,0.9959949960040322,
noise_fakeout,basin_transition_profile,0.5,900,2,0.0,0.0,0.5573067474544082,0.4105696638510637,
component_swap_fakeout,center_of_mass,0.5,900,2,0.0,0.0769230769230769,1.0,0.0,
