alpha,T,condition,threshold,kappa,metric,mean,std,se,ci_low,ci_high
0.45,900,product,main,center_of_mass,viable_propagation_index,0.19074787793393275,0.008372219464090615,0.0008372219464090616,0.189240720310981,0.19231785945211968
0.45,900,product,main,center_of_mass,component_B_preservation,0.713686180113914,0.010701148138599865,0.0010701148138599864,0.7116975208417132,0.7157939978495832
0.45,900,product,main,center_of_mass,singleton_fraction,0.4174079979503371,0.020739787688587082,0.0020739787688587082,0.4134485277967615,0.42102234156421464
0.45,900,product,main,joint_basin,viable_propagation_index,0.5281541603111013,0.06886541058179001,0.006886541058179001,0.5160356104279482,0.5438341359817497
0.45,900,product,main,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,product,main,joint_basin,singleton_fraction,0.4682005242509623,0.06941938612622146,0.0069419386126221465,0.45299161367171226,0.4817694985906601
0.45,900,product,strict,boundary_v2_regime_sequence,viable_propagation_index,0.7283786643168095,0.03466412793367577,0.0034664127933675772,0.7221855776139161,0.7347826008720374
0.45,900,product,strict,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,product,strict,boundary_v2_regime_sequence,singleton_fraction,0.2593488886279089,0.035254335753445006,0.0035254335753445005,0.25300131566943596,0.26762496837425137
0.45,900,product,strict,center_of_mass,viable_propagation_index,0.18760793211390436,0.008341479311497174,0.0008341479311497174,0.18591797236007926,0.18917475410469603
0.45,900,product,strict,center_of_mass,component_B_preservation,0.713686180113914,0.010701148138599865,0.0010701148138599864,0.7113765082783674,0.7158738888991711
0.45,900,product,strict,center_of_mass,singleton_fraction,0.4174079979503371,0.020739787688587082,0.0020739787688587082,0.414067494668968,0.42144876722360597
0.45,900,product,strict,joint_basin,viable_propagation_index,0.5270201037094496,0.06878397647324086,0.006878397647324086,0.5137144191072799,0.5393582087470665
0.45,900,product,strict,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,product,strict,joint_basin,singleton_fraction,0.4682005242509623,0.06941938612622146,0.0069419386126221465,0.4566108099195211,0.47900044843813533
0.45,900,shuffled,loose,boundary_v2_regime_sequence,viable_propagation_index,0.7319007340456756,0.03267499149134256,0.003267499149134256,0.7259868975199645,0.7385086173568848
0.45,900,shuffled,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,shuffled,loose,boundary_v2_regime_sequence,singleton_fraction,0.26456407716681946,0.0328396689834891,0.0032839668983489097,0.2581943718276979,0.2711963855186782
0.45,900,shuffled,loose,center_of_mass,viable_propagation_index,0.1914927538553953,0.008309973947350184,0.0008309973947350184,0.18994694106351107,0.19330157900712464
0.45,900,shuffled,loose,center_of_mass,component_B_preservation,0.7138790535508122,0.009107697794976898,0.0009107697794976898,0.7119990538325951,0.7158366574413276
0.45,900,shuffled,loose,center_of_mass,singleton_fraction,0.4186432595766923,0.020456930924269097,0.0020456930924269098,0.4146679497950156,0.4221515638960372
0.45,900,shuffled,loose,joint_basin,viable_propagation_index,0.5235260819725006,0.06246595021434021,0.006246595021434021,0.512054402855259,0.5347527941432791
0.45,900,shuffled,loose,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,shuffled,loose,joint_basin,singleton_fraction,0.47432545404199167,0.06271915495083605,0.006271915495083605,0.46289920072125756,0.4860016592789122
0.45,900,shuffled,main,boundary_v2_regime_sequence,viable_propagation_index,0.7292780037314861,0.03266159738555571,0.003266159738555571,0.7224300878340568,0.7361606801340841
0.45,900,shuffled,main,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,shuffled,main,boundary_v2_regime_sequence,singleton_fraction,0.26456407716681946,0.0328396689834891,0.0032839668983489097,0.2581268915792862,0.2708527846123547
0.45,900,shuffled,main,center_of_mass,viable_propagation_index,0.18994219291238224,0.00823744293425319,0.0008237442934253189,0.18823653212929117,0.19169230900132464
0.45,900,shuffled,main,center_of_mass,component_B_preservation,0.7138790535508122,0.009107697794976898,0.0009107697794976898,0.7122030934970289,0.715684712401625
0.45,900,shuffled,main,center_of_mass,singleton_fraction,0.4186432595766923,0.020456930924269097,0.0020456930924269098,0.41469085515008774,0.4225089355143957
0.45,900,shuffled,main,joint_basin,viable_propagation_index,0.522211091518708,0.06235889573440279,0.006235889573440279,0.509814683113993,0.5331445274582802
0.45,900,shuffled,main,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,shuffled,main,joint_basin,singleton_fraction,0.47432545404199167,0.06271915495083605,0.006271915495083605,0.4618710708848584,0.48605779380655734
0.45,900,shuffled,strict,boundary_v2_regime_sequence,viable_propagation_index,0.7236659317275786,0.03238155963202323,0.003238155963202323,0.7179535683396169,0.7294264876147688
0.45,900,shuffled,strict,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,900,shuffled,strict,boundary_v2_regime_sequence,singleton_fraction,0.26456407716681946,0.0328396689834891,0.0032839668983489097,0.2582115714629049,0.2715746936855928
0.45,900,shuffled,strict,center_of_mass,viable_propagation_index,0.18682953837596858,0.008160127322223333,0.0008160127322223333,0.18545612015192292,0.1882601759107403
0.45,900,shuffled,strict,center_of_mass,component_B_preservation,0.7138790535508122,0.009107697794976898,0.0009107697794976898,0.7120470004697905,0.7158323975127788
