kappa,variant_id,split,alpha,T,component_A_preservation,component_B_preservation,lower_rank_erasure_score
random_matched_predictive_kmeans_no_COM_k8,noise_test_006,test,0.525,2400,0.7195895856880759,0.42111093555603724,0.42964973937794343
all_one_diagnostic,noise_test_007,test,0.525,1500,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_007,test,0.525,1500,1.0,1.0,0.0
center_of_mass,noise_test_007,test,0.525,1500,1.0,0.8073021516477941,0.09634892417610288
identity_diagnostic,noise_test_007,test,0.525,1500,0.6934630221204945,0.45695136677540055,0.42479280555205245
joint_basin,noise_test_007,test,0.525,1500,1.0,0.9412321380327069,0.02938393098364651
predictive_kmeans_k13,noise_test_007,test,0.525,1500,0.9990504455528612,0.6629753378078785,0.16898710831963007
predictive_kmeans_k21,noise_test_007,test,0.525,1500,0.8634612528628289,0.568957460532677,0.283790643302247
predictive_kmeans_k5,noise_test_007,test,0.525,1500,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_007,test,0.525,1500,1.0,0.8369428954357393,0.08152855228213025
predictive_kmeans_no_COM_k13,noise_test_007,test,0.525,1500,0.9992034670139204,0.6634983182378292,0.16864910737412514
predictive_kmeans_no_COM_k8,noise_test_007,test,0.525,1500,1.0,0.8355322626268213,0.08223386868658931
random_matched_predictive_kmeans_k13,noise_test_007,test,0.525,1500,0.6934654379745894,0.4569529489109001,0.42479080655725526
random_matched_predictive_kmeans_k21,noise_test_007,test,0.525,1500,0.6934626235454807,0.4569511064465296,0.4247931350039948
random_matched_predictive_kmeans_k5,noise_test_007,test,0.525,1500,0.6957151220233182,0.45843549462778244,0.4229246916744497
random_matched_predictive_kmeans_k8,noise_test_007,test,0.525,1500,0.6935507900156105,0.45700925280843685,0.4247199785879763
random_matched_predictive_kmeans_no_COM_k13,noise_test_007,test,0.525,1500,0.6934654379745894,0.4569529489109001,0.42479080655725526
random_matched_predictive_kmeans_no_COM_k8,noise_test_007,test,0.525,1500,0.6935507900156105,0.45700925280843685,0.4247199785879763
all_one_diagnostic,noise_test_007,test,0.525,2400,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_007,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_007,test,0.525,2400,1.0,0.6931932524268738,0.15340337378656307
identity_diagnostic,noise_test_007,test,0.525,2400,0.719300456405865,0.4199898683118499,0.43035483764114246
joint_basin,noise_test_007,test,0.525,2400,1.0,0.926652678835443,0.03667366058227843
