variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,singleton_fraction,estimator_stable,ci_width,category
reference_000,reference,reference,0.525,2400,center_of_mass,0.42007269722155216,True,0.004198995450477874,Robust propagation retained
reference_000,reference,reference,0.525,2400,joint_basin,0.46977490437379965,True,0.035723078731754815,Entropy-only pseudo-risk
sink_threshold_000,sink_threshold,mild,0.45,900,boundary_v2_regime_sequence,0.40931164506253026,True,0.035659645020745034,Propagation lost
sink_threshold_000,sink_threshold,mild,0.45,900,center_of_mass,0.35340709574753915,True,0.004374089015353834,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.45,900,joint_basin,0.45019749977890944,False,0.022463584415429436,Estimator-limited
sink_threshold_000,sink_threshold,mild,0.45,1500,boundary_v2_regime_sequence,0.3810089646513206,True,0.03774592504205754,Propagation lost
sink_threshold_000,sink_threshold,mild,0.45,1500,center_of_mass,0.38459922178285033,True,0.003482493619500357,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.45,1500,joint_basin,0.44858292947596257,False,0.029926966386105,Estimator-limited
sink_threshold_000,sink_threshold,mild,0.45,2400,boundary_v2_regime_sequence,0.33272426511397096,True,0.041346332898802574,Propagation lost
sink_threshold_000,sink_threshold,mild,0.45,2400,center_of_mass,0.4223881391544996,True,0.0034221882222380817,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.45,2400,joint_basin,0.4601853791057603,True,0.023509533471760158,Entropy-only pseudo-risk
sink_threshold_000,sink_threshold,mild,0.5,900,boundary_v2_regime_sequence,0.3896671537596141,True,0.04217119956984869,Propagation lost
sink_threshold_000,sink_threshold,mild,0.5,900,center_of_mass,0.3535907649555134,True,0.0036061813776676332,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.5,900,joint_basin,0.4519378721580697,False,0.027755102364920403,Estimator-limited
sink_threshold_000,sink_threshold,mild,0.5,1500,boundary_v2_regime_sequence,0.42392014039891024,True,0.03733125044661889,Propagation lost
sink_threshold_000,sink_threshold,mild,0.5,1500,center_of_mass,0.3828436942739766,True,0.003953067114853756,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.5,1500,joint_basin,0.43121249743212314,False,0.03020971470635509,Estimator-limited
sink_threshold_000,sink_threshold,mild,0.5,2400,boundary_v2_regime_sequence,0.36993883862740284,True,0.038794293317923445,Propagation lost
sink_threshold_000,sink_threshold,mild,0.5,2400,center_of_mass,0.4207297785440639,True,0.004160125823229208,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.5,2400,joint_basin,0.4634428779963479,True,0.0295051132576047,Entropy-only pseudo-risk
sink_threshold_000,sink_threshold,mild,0.525,900,boundary_v2_regime_sequence,0.4221760039760052,True,0.03584851999922711,Propagation lost
sink_threshold_000,sink_threshold,mild,0.525,900,center_of_mass,0.350827366634876,True,0.00479534879275538,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.525,900,joint_basin,0.4514830888562097,False,0.028206835169581376,Estimator-limited
sink_threshold_000,sink_threshold,mild,0.525,1500,boundary_v2_regime_sequence,0.4276678425726918,True,0.03895353131432483,Propagation lost
sink_threshold_000,sink_threshold,mild,0.525,1500,center_of_mass,0.3832337110841556,True,0.004814976435657856,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.525,1500,joint_basin,0.42717149947212363,False,0.025093617100860804,Estimator-limited
sink_threshold_000,sink_threshold,mild,0.525,2400,boundary_v2_regime_sequence,0.37421576687201685,True,0.040006692290270596,Propagation lost
sink_threshold_000,sink_threshold,mild,0.525,2400,center_of_mass,0.42148857420203434,True,0.004631803886454122,Robust propagation retained
sink_threshold_000,sink_threshold,mild,0.525,2400,joint_basin,0.47084759255390685,True,0.03481331961043885,Entropy-only pseudo-risk
sink_threshold_001,sink_threshold,moderate,0.45,900,boundary_v2_regime_sequence,0.4172152896229074,True,0.035815545869176346,Propagation lost
sink_threshold_001,sink_threshold,moderate,0.45,900,center_of_mass,0.35277389754783306,True,0.003927403455011899,Robust propagation retained
sink_threshold_001,sink_threshold,moderate,0.45,900,joint_basin,0.4527027813677016,False,0.024514527203955194,Estimator-limited
sink_threshold_001,sink_threshold,moderate,0.45,1500,boundary_v2_regime_sequence,0.37756152407888843,True,0.03715843413781442,Propagation lost
sink_threshold_001,sink_threshold,moderate,0.45,1500,center_of_mass,0.3825423218126899,True,0.0036742503804980814,Robust propagation retained
sink_threshold_001,sink_threshold,moderate,0.45,1500,joint_basin,0.4448868795892178,False,0.0237636293233612,Estimator-limited
sink_threshold_001,sink_threshold,moderate,0.45,2400,boundary_v2_regime_sequence,0.3278351397377132,True,0.049870871037758446,Propagation lost
