space,rule_id,stratum,q,radius,table_digest,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,table_json
q3_radius1,q3g3_s7_00001,S7_symmetric_control,3,1,fe359ed65f5f,True,2,True,False,0.0,1.3516441151533924,0.14720751150995937,0.0,True,False,"[0,0,2,0,2,2,0,2,2,0,1,2,2,0,2,2,0,0,2,2,1,2,2,2,2,0,1]"
q3_radius1,q3g3_s7_00003,S7_symmetric_control,3,1,7e8846c69402,True,2,True,False,0.0,1.579013207279971,0.0037535862447711787,0.0,False,False,"[0,2,1,1,1,1,2,0,0,2,0,0,1,1,2,0,1,2,1,0,1,1,2,0,0,2,2]"
q3_radius1,q3g3_s7_00004,S7_symmetric_control,3,1,76238b4f4140,True,2,True,False,0.0,1.2183368243391808,0.23131504765264854,0.0,True,False,"[0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1]"
q3_radius1,q3g3_s7_00005,S7_symmetric_control,3,1,b6c005860da1,True,2,True,False,0.0,1.5061046842206038,0.049753742731876605,0.0,True,False,"[0,0,2,0,2,2,0,0,1,0,2,2,2,0,0,0,1,2,2,2,1,2,0,1,1,2,0]"
q3_radius1,q3g3_s7_00006,S7_symmetric_control,3,1,4067c700e8e8,True,2,True,False,0.0,1.5610150105933087,0.015109184045017598,0.0,False,False,"[0,0,1,1,2,2,2,0,2,0,1,1,2,1,0,0,2,2,1,1,1,2,0,1,2,2,2]"
q3_radius1,q3g3_s7_00008,S7_symmetric_control,3,1,2b904f660525,True,2,True,False,0.0,1.5448491887169091,0.02530868205777448,0.0,True,False,"[0,2,1,0,2,0,0,1,0,2,0,0,2,2,2,1,2,1,1,0,0,0,2,0,0,1,1]"
q3_radius1,q3g3_s7_00010,S7_symmetric_control,3,1,31c3f88f7482,True,2,True,False,0.0,1.3516441151533924,0.14720751150995937,0.0,True,False,"[0,2,0,0,0,0,0,2,0,2,1,2,0,1,2,2,2,0,0,2,1,0,2,0,0,0,0]"
q3_radius1,q3g3_s7_00011,S7_symmetric_control,3,1,4f9c35c98f81,True,2,True,False,0.0,1.540709585192697,0.02792048108918921,0.0,True,False,"[0,2,2,2,1,2,1,0,0,2,0,2,1,0,0,0,0,1,2,2,2,2,0,0,0,1,1]"
q3_radius1,q3g3_s7_00013,S7_symmetric_control,3,1,50f125f2293b,True,2,True,False,0.0,1.5175287893989997,0.04254593486689695,0.0,True,False,"[0,2,1,1,1,2,0,1,1,2,0,2,1,0,1,1,2,0,1,2,0,2,1,1,1,0,1]"
q3_radius1,q3g3_s7_00014,S7_symmetric_control,3,1,a36f489345f1,True,2,True,False,0.0,1.5448491887169091,0.02530868205777448,0.0,True,False,"[0,1,1,1,2,2,2,1,1,1,1,0,2,0,1,1,0,2,1,0,0,2,1,2,1,2,0]"
q3_radius1,q3g3_s7_00015,S7_symmetric_control,3,1,e03d5e723bc9,True,2,True,False,0.0,1.5448491887169091,0.02530868205777448,0.0,True,False,"[0,1,0,1,2,2,2,1,1,1,0,1,2,0,0,1,2,1,0,1,0,2,0,1,1,1,2]"
q3_radius1,q3g3_s7_00016,S7_symmetric_control,3,1,611daa0f10ae,True,2,True,False,0.0,1.5304930567574826,0.0343663928571748,0.0,True,False,"[0,2,0,1,1,0,2,2,1,2,1,1,1,0,2,2,1,1,0,1,2,0,2,1,1,1,2]"
q3_radius1,q3g3_s7_00017,S7_symmetric_control,3,1,4b18e0691608,True,2,True,False,0.0,1.5448491887169091,0.02530868205777448,0.0,True,False,"[0,1,1,2,1,1,1,0,0,1,1,2,1,1,2,0,1,2,1,2,0,1,2,0,0,2,0]"
q3_radius1,q3g3_s7_00018,S7_symmetric_control,3,1,03cb7333a021,True,2,True,False,0.0,1.5663672668986361,0.011732286293246186,0.0,False,False,"[0,0,1,1,1,2,2,1,0,0,2,2,1,2,1,1,1,2,1,2,0,2,1,0,0,2,2]"
q3_radius1,q3g3_s7_00019,S7_symmetric_control,3,1,b2dc1db17263,True,2,True,False,0.0,1.5663672668986361,0.011732286293246186,0.0,False,False,"[0,0,1,1,2,2,2,1,0,0,2,0,2,2,0,1,1,1,1,0,0,2,0,1,0,1,1]"
