coarse_name,irreversibility_sensitivity,normalized_sensitivity,omega_irrev,omega_rev,pair_id
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,2
identity,0.0,0.0,1.0,1.0,3
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,3
random_k,0.007938704879958403,0.008825859575275636,0.8915436415418599,0.8994823464218183,3
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,3
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,3
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,3
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,3
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,3
behavioral_quotient_k5,-0.002417216642516151,-0.0024979444719013784,0.9700995129091825,0.9676822962666664,3
behavioral_quotient_k8,0.002584021356734967,0.002652325694959603,0.9716633577059346,0.9742473790626696,3
behavioral_quotient_k13,0.0063932662197346835,0.00659843304846705,0.9625134685723944,0.9689067347921291,3
behavioral_quotient_k21,0.004949340268838864,0.005049051721298569,0.9753021093174095,0.9802514495862483,3
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,3
identity,0.0,0.0,1.0,1.0,4
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,4
random_k,0.007599754916659651,0.00844859299239543,0.8919293055434884,0.899529060460148,4
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,4
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,4
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,4
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,4
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,4
behavioral_quotient_k5,-0.0019282616016049747,-0.0019907018979381766,0.9705622914390845,0.9686340298374795,4
behavioral_quotient_k8,0.0017184222317642162,0.0017589496790126156,0.9752408690248513,0.9769592912566155,4
behavioral_quotient_k13,0.010092724987068369,0.010401645804628157,0.9602080501631165,0.9703007751501849,4
behavioral_quotient_k21,0.005023021695082286,0.005098089147130274,0.9802523530813192,0.9852753747764015,4
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,4
identity,0.0,0.0,1.0,1.0,7
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,7
random_k,0.007861017801578662,0.008746260230540195,0.8909251598757739,0.8987861776773526,7
