kind,world,condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
multi,F_T_attractive,coupled,0.525,900,A_pred_delta,0.8014603764957429,0.8009294931639894,0.8019649305703618,0.0010354374063723526
multi,F_T_attractive,coupled,0.525,900,gaussian_mi_approx,0.9717190864945925,0.9706860368738749,0.9728595480157107,0.0021735111418358377
multi,F_T_attractive,coupled,0.525,900,binned_mi_diagnostic,0.9256209472357863,0.9254642751618979,0.9257612063862614,0.0002969312243634725
multi,F_T_attractive,coupled,0.525,900,component_prediction_balance,0.7150849938392639,0.7142044515328275,0.7159791538698805,0.0017747023370530135
multi,F_T_attractive,coupled,0.525,900,component_erasure_proxy,0.28491500616073606,0.28403669668568504,0.2857470588303274,0.0017103621446423745
multi,F_T_attractive,coupled,0.525,900,joint_vs_product_prediction_delta,0.7091060866912205,0.7085490209733446,0.7098494301901924,0.0013004092168478198
multi,F_T_attractive,coupled,0.525,900,joint_vs_shuffled_prediction_delta,0.7091060866912205,0.7084069277842839,0.7097270380043321,0.0013201102200481873
multi,F_T_attractive,coupled,0.525,1500,p_viable_T,0.9988481481481482,0.9988044351851851,0.9988855555555555,8.112037037033559e-05
multi,F_T_attractive,coupled,0.525,1500,tail_viability,0.9988481481481482,0.9988136851851853,0.9988848333333332,7.114814814790371e-05
multi,F_T_attractive,coupled,0.525,1500,kernel_erosion_slope,2.098765432098637e-06,1.3580246913578749e-06,2.9012345679009203e-06,1.5432098765430455e-06
multi,F_T_attractive,coupled,0.525,1500,mean_hazard,2.1010313913093148e-06,1.4196555593682789e-06,2.6587685996403306e-06,1.2391130402720517e-06
multi,F_T_attractive,coupled,0.525,1500,late_hazard,0.0,0.0,0.0,0.0
multi,F_T_attractive,coupled,0.525,1500,endpoint_variance,0.034834700057076035,0.03478318579701909,0.034896855303603695,0.0001136695065846044
multi,F_T_attractive,coupled,0.525,1500,mean_pairwise_trajectory_distance,1.288113890091578,1.2839494774407811,1.2919601245390044,0.0080106470982233
multi,F_T_attractive,coupled,0.525,1500,effective_dimension,2.404814655250973,2.4026683910687763,2.4069699282447496,0.004301537175973369
multi,F_T_attractive,coupled,0.525,1500,covariance_spectrum_rank,3.0,3.0,3.0,0.0
multi,F_T_attractive,coupled,0.525,1500,path_concentration_index,0.29370800122351337,0.2935215085960758,0.2939033040416102,0.00038179544553440525
multi,F_T_attractive,coupled,0.525,1500,collapse_score,0.29370800122351337,0.2934932225134655,0.2939051414163902,0.0004119189029246906
multi,F_T_attractive,coupled,0.525,1500,tube_thickness_mean,2.1592057016160755,2.1590777683258056,2.1593427819013598,0.000265013575554196
multi,F_T_attractive,coupled,0.525,1500,tube_erosion_slope,-0.11614112928509708,-0.11620781329563919,-0.11605766708134772,0.00015014621429146335
multi,F_T_attractive,coupled,0.525,1500,perturbation_survival_radius,2.0668573763635423,2.066668148868614,2.067051653398408,0.0003835045297941875
multi,F_T_attractive,coupled,0.525,1500,boundary_proximity,0.00039903044107586,0.00039097274746888123,0.0004062895189594531,1.5316771490571867e-05
multi,F_T_attractive,coupled,0.525,1500,restoration_probability,0.9984363511767457,0.9984178417964261,0.998453332924931,3.5491128504872016e-05
multi,F_T_attractive,coupled,0.525,1500,return_to_corridor_time,0.0,0.0,0.0,0.0
multi,F_T_attractive,coupled,0.525,1500,restoration_half_life,1.0,1.0,1.0,0.0
multi,F_T_attractive,coupled,0.525,1500,post_perturbation_viability,1.0,1.0,1.0,0.0
multi,F_T_attractive,coupled,0.525,1500,overshoot_or_absorption_rate,0.0,0.0,0.0,0.0
multi,F_T_attractive,coupled,0.525,1500,predictive_r2,0.6368449926376343,0.6358470700101719,0.6379011864546272,0.0020541164444553006
multi,F_T_attractive,coupled,0.525,1500,time_shuffled_r2,-0.0008261105257790185,-0.0009124620249593983,-0.0006732233317840126,0.0002392386931753857
multi,F_T_attractive,coupled,0.525,1500,A_pred_delta,0.6376711031634134,0.6367527109612251,0.6386837573270413,0.0019310463658162025
multi,F_T_attractive,coupled,0.525,1500,gaussian_mi_approx,0.6283607909075529,0.6274046033183752,0.6293001962432683,0.0018955929248930525
multi,F_T_attractive,coupled,0.525,1500,binned_mi_diagnostic,0.8458048493767145,0.8455412262128417,0.8461183607250297,0.0005771345121879934
multi,F_T_attractive,coupled,0.525,1500,component_prediction_balance,0.7178695589303971,0.7168620790292819,0.7186880095303059,0.0018259305010239757
multi,F_T_attractive,coupled,0.525,1500,component_erasure_proxy,0.28213044106960294,0.2811327931409081,0.28297382839024066,0.0018410352493325455
multi,F_T_attractive,coupled,0.525,1500,joint_vs_product_prediction_delta,0.5558343425393104,0.554720799324827,0.5568132435426943,0.002092444217867362
multi,F_T_attractive,coupled,0.525,1500,joint_vs_shuffled_prediction_delta,0.5558343425393104,0.5547088897207545,0.5567571782548394,0.0020482885340848966
