alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_excludes_zero,n_seeds
0.5,900,center_of_mass,Delta_viable_propagation_vs_shuffled,0.06992949188834893,0.00921807615264912,0.0007287529071813298,0.06856166667454143,0.07144936247254684,True,160
0.5,900,center_of_mass,Delta_viable_propagation_vs_product,0.06824666426331127,0.008773633783134047,0.0006936166527725844,0.06702030385265781,0.06963181372018437,True,160
0.5,900,center_of_mass,Delta_breadth_vs_product,0.00920106438674663,0.0028205033269896925,0.00022298036653425234,0.008790023000534584,0.00961450861308499,True,160
0.5,900,center_of_mass,certified_transport_density_advantage,0.025011253257801114,0.0197539439602763,0.0015616863921449956,0.022104623051774425,0.028121028978887498,True,160
0.5,900,center_of_mass,component_B_preservation,0.8251294132865779,0.004523394075623617,0.000357605700837064,0.8244173289379579,0.8258525228449738,True,160
0.5,900,center_of_mass,lower_rank_erasure_score,0.08743529335671102,0.0022616970378118123,0.0001788028504185323,0.08707091186920606,0.0877686357698065,True,160
0.5,900,joint_basin,Delta_depth_vs_shuffled,-0.007671853534321335,0.001512523983893894,0.00011957552011841346,-0.007901155154641617,-0.007425753490395533,True,160
0.5,900,joint_basin,Delta_depth_vs_product,-0.00772750930144795,0.0014743482166785743,0.0001165574607227936,-0.007965337700073363,-0.007503905026723053,True,160
0.5,900,joint_basin,Delta_viable_propagation_vs_shuffled,-0.05870564292697644,0.055527259799651334,0.004389815329870078,-0.06825670619510006,-0.05047139713138041,True,160
0.5,900,joint_basin,Delta_viable_propagation_vs_product,-0.06235861480862531,0.05629367064805993,0.004450405427480908,-0.0711602336771636,-0.05386002220489332,True,160
0.5,900,joint_basin,Delta_breadth_vs_product,0.29060601270519865,0.002761736511402386,0.00021833444183197797,0.29021449591727644,0.29104022630615195,True,160
0.5,900,joint_basin,certified_transport_density_advantage,0.05360839266124227,0.04248379167986964,0.0033586386337124755,0.04713571065011747,0.060313521450669066,True,160
0.5,900,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.5,900,joint_basin,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.5,1500,basin_transition_profile,Delta_depth_vs_shuffled,-0.03345406601359939,0.004189941027860064,0.0003312439227456204,-0.03408691161722103,-0.03278301671057202,True,160
0.5,1500,basin_transition_profile,Delta_depth_vs_product,-0.03340871787852466,0.004189177664140917,0.0003311835735447294,-0.034014632511051614,-0.032765522392268084,True,160
0.5,1500,basin_transition_profile,Delta_viable_propagation_vs_shuffled,-0.07770896976731444,0.06026137366437264,0.004764079892747617,-0.08694237540081733,-0.06841889074001135,True,160
0.5,1500,basin_transition_profile,Delta_viable_propagation_vs_product,-0.082345892412586,0.05943556410370844,0.004698793914616571,-0.0915994926183782,-0.07322786923719585,True,160
0.5,1500,basin_transition_profile,Delta_breadth_vs_product,0.4054013097642719,0.002834634515580883,0.00022409753508409106,0.4049637267033175,0.4058625860255911,True,160
0.5,1500,basin_transition_profile,certified_transport_density_advantage,0.1397401266508917,0.024064052976637884,0.0019024304285282592,0.13604787051616538,0.14338673310443528,True,160
0.5,1500,basin_transition_profile,component_B_preservation,0.9757556822960691,0.004707842065217085,0.0003721875947609238,0.9750696159053969,0.9765081547134441,True,160
0.5,1500,basin_transition_profile,lower_rank_erasure_score,0.012122158851965372,0.0023539210326085436,0.000186093797380462,0.011758292733914712,0.012481983268299919,True,160
0.5,1500,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,0.0012212477645811362,0.0014520514757118206,0.00011479474857645046,0.0009925452865386733,0.0014217566477742502,True,160
