world,T,seed,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in
W3_relation_only,100,20,0.5014025841550493,0.0392156862745098,2839.0,0.9999714569212844,0.0010200612036722,0.500876825856785
W3_relation_only,100,22,0.4982721843003413,0.0,2822.0,0.9999915974685684,0.0010238907849829,0.4977578255415052
W3_relation_only,100,23,0.499063670411985,0.0,2829.0,0.9999513283378012,0.0013619339462036,0.4983597214812794
W7_full_DAR,50,0,0.2505937719915552,0.0,2842.0,0.9999713660206232,0.0003518648838845,0.2504984238709775
W7_full_DAR,50,2,0.2506391043723554,0.0,2836.0,0.9999850186957006,0.0003526093088857,0.2505469731143039
W7_full_DAR,50,1,0.2490648921363952,0.0,2874.0,0.9999687692099312,0.0003479471120389,0.2489704549396106
W7_full_DAR,50,3,0.247825895994378,0.0,2846.0,0.9999811732313526,0.0003513703443429,0.2477341532025667
W7_full_DAR,50,4,0.249261640027797,0.0,2878.0,0.9999771002651968,0.0003474635163307,0.2491693246597439
W7_full_DAR,50,5,0.2469698290896407,0.0,2867.0,0.999993852218029,0.0003487966515521,0.2468821690531409
W3_relation_only,100,24,0.499212363760218,0.0,2831.0,0.9999922476263798,0.0013623978201634,0.4985283731158623
W3_relation_only,100,26,0.5031881205066758,0.0,2810.0,0.9999825297592804,0.0013693940431359,0.5024902789123781
W3_relation_only,100,25,0.5008698234894773,0.0,2823.0,0.9999624680876732,0.0010183299389002,0.5003409932936036
W3_relation_only,100,27,0.5026682035519126,0.0588235294117647,2819.0,0.9999999526712614,0.0010245901639344,0.5021531508885544
W3_relation_only,100,28,0.4990852620830497,0.0,2826.0,0.9999975856616116,0.0010211027910142,0.4985744409986639
W3_relation_only,100,29,0.4947204172366621,0.0,2824.0,0.9999937236284664,0.0010259917920656,0.4942097362858211
W7_full_DAR,50,7,0.250745352507892,0.0,2851.0,0.999983839653406,0.0003507541213609,0.2506533518315863
W7_full_DAR,50,6,0.2455310199789695,0.0,2853.0,0.999924323744191,0.0003505082369435,0.2454263849785121
W7_full_DAR,50,8,0.2453207381370826,0.0,2845.0,0.9999519340719448,0.0003514938488576,0.2452227219823443
