candidate,candidate_category,fake_viability_rate,family,hidden_nonviability_rate,macro_viability_purity,mixed_viability_label_fraction,pair_id,variant,world_seed
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,16,hidden,316
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,12,hidden,312
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9153439153439153,1.0,12,hidden,312
random_k,ADVERSARIAL,0.9230769230769231,D,0.0,0.9162573291494895,0.9230769230769231,12,hidden,312
hash_k34_s1206,ADVERSARIAL,0.8823529411764706,D,0.0,0.9158763582832514,0.8823529411764706,12,hidden,312
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.9154162000746547,1.0,12,hidden,312
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9154616724738676,1.0,12,hidden,312
trap_mixing_adversarial,ADVERSARIAL,0.75,D,0.0,0.9130453905700211,0.75,12,hidden,312
viability_signature,THEORY_INFORMED,0.05263157894736842,D,0.0,0.9972299168975068,0.05263157894736842,12,hidden,312
behavioral_quotient_k5,THEORY_INFORMED,0.2,D,0.0,0.9949685534591195,0.2,12,hidden,312
behavioral_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9914772727272727,0.125,12,hidden,312
behavioral_quotient_k13,THEORY_INFORMED,0.07692307692307693,D,0.0,0.9835164835164836,0.07692307692307693,12,hidden,312
behavioral_quotient_k21,THEORY_INFORMED,0.047619047619047616,D,0.047619047619047616,0.9823809523809524,0.09523809523809523,12,hidden,312
predictive_quotient_k5,THEORY_INFORMED,0.2,D,0.0,0.9921568627450981,0.2,12,hidden,312
predictive_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9920212765957447,0.125,12,hidden,312
predictive_quotient_k13,THEORY_INFORMED,0.07692307692307693,D,0.0,0.9911242603550297,0.07692307692307693,12,hidden,312
predictive_quotient_k21,THEORY_INFORMED,0.047619047619047616,D,0.047619047619047616,0.9831691297208539,0.09523809523809523,12,hidden,312
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,18,hidden,318
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9329805996472663,1.0,18,hidden,318
random_k,ADVERSARIAL,1.0,D,0.0,0.9333257360963952,1.0,18,hidden,318
hash_k34_s1206,ADVERSARIAL,0.8235294117647058,D,0.0,0.9343471134583864,0.8235294117647058,18,hidden,318
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.9321535393818544,1.0,18,hidden,318
checkerboard,ADVERSARIAL,1.0,D,0.0,0.933493031358885,1.0,18,hidden,318
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.9201058201058201,0.5,18,hidden,318
viability_signature,THEORY_INFORMED,0.10526315789473684,D,0.0,0.9799498746867169,0.10526315789473684,18,hidden,318
behavioral_quotient_k5,THEORY_INFORMED,0.2,D,0.0,0.996078431372549,0.2,18,hidden,318
behavioral_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9958333333333333,0.125,18,hidden,318
