candidate,early_mean,irreversibility_sensitivity,late_mean,norm_irrev_sensitivity,pair_id,start_name
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,16,near_trap
checkerboard,0.0,0.0,0.0,0.0,16,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,16,near_trap
viability_signature,0.0,0.0,0.0,0.0,16,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,16,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,16,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,16,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,16,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,16,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,16,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,16,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,16,near_trap
identity,0.0,0.0,0.0,0.0,19,near_trap
all_one,0.0,0.0,0.0,0.0,19,near_trap
random_k,0.0,0.0,0.0,0.0,19,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,19,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,19,near_trap
checkerboard,0.0,0.0,0.0,0.0,19,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,19,near_trap
viability_signature,0.0,0.0,0.0,0.0,19,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,19,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,19,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,19,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,19,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,19,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,19,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,19,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,19,near_trap
identity,0.0,0.0,0.0,0.0,18,near_trap
all_one,0.0,0.0,0.0,0.0,18,near_trap
random_k,0.0,0.0,0.0,0.0,18,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,18,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,18,near_trap
checkerboard,0.0,0.0,0.0,0.0,18,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,18,near_trap
viability_signature,0.0,0.0,0.0,0.0,18,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,18,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,18,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,18,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,18,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,18,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,18,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,18,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,18,near_trap
identity,0.0,0.0,0.0,0.0,21,near_trap
all_one,0.0,0.0,0.0,0.0,21,near_trap
random_k,0.0,0.0,0.0,0.0,21,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,21,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,21,near_trap
checkerboard,0.0,0.0,0.0,0.0,21,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,21,near_trap
viability_signature,0.0,0.0,0.0,0.0,21,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,21,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,21,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,21,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,21,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,21,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,21,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,21,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,21,near_trap
