rule,ic_family,T,ring_size,localized_component_lifetime_max,recurrence_up_to_shift,translation_velocity_estimate,motif_type
109,bernoulli_025,512,256,516.0,0.7745361328125,0.0,emitter
118,short_random_block,1024,512,1028.0,0.7705535888671875,0.000946044921875,global_periodic_artifact
118,g0_candidate_window_seed,1024,256,1028.0,0.8426513671875,0.001953125,global_periodic_artifact
109,single_seed,256,512,260.0,0.580078125,-0.0625,emitter
109,bernoulli_050,512,512,516.0,0.8122711181640625,0.0,emitter
109,two_cell_seed,256,256,260.0,0.734375,-0.03125,global_periodic_artifact
109,single_seed,512,256,516.0,0.7421875,-0.03125,global_periodic_artifact
109,bernoulli_050,1024,256,1028.0,0.83099365234375,0.0,emitter
109,two_cell_seed,256,512,260.0,0.578125,-0.0625,emitter
109,bernoulli_025,512,512,516.0,0.7707672119140625,0.0,emitter
109,short_random_block,256,256,260.0,0.6888275146484375,-0.00860595703125,emitter
109,two_cell_seed,512,256,516.0,0.734375,-0.015625,global_periodic_artifact
118,g0_motif_seed,1024,512,1028.0,0.671875,0.005859375,global_periodic_artifact
109,single_seed,512,512,516.0,0.751953125,-0.015625,global_periodic_artifact
109,bernoulli_025,1024,256,1028.0,0.7880401611328125,0.0,emitter
109,short_random_block,256,512,260.0,0.5908737182617188,-0.0184326171875,emitter
109,periodic_perturbation,256,256,260.0,0.8095703125,-0.03076171875,emitter
109,single_seed,1024,256,1028.0,0.7421875,-0.015625,global_periodic_artifact
109,short_random_block,512,256,516.0,0.67535400390625,-0.00457763671875,emitter
109,periodic_perturbation,256,512,260.0,0.7777786254882812,-0.0625,emitter
109,periodic_perturbation,512,256,516.0,0.80010986328125,-0.027252197265625,emitter
118,g0_candidate_window_seed,1024,512,1028.0,0.7782745361328125,0.00122833251953125,global_periodic_artifact
109,two_cell_seed,512,512,516.0,0.7421875,-0.015625,global_periodic_artifact
109,g0_motif_seed,256,256,260.0,0.671875,0.0,emitter
109,periodic_perturbation,512,512,516.0,0.8267822265625,-0.03125,emitter
109,two_cell_seed,1024,256,1028.0,0.734375,-0.0078125,global_periodic_artifact
109,g0_candidate_window_seed,256,256,260.0,0.6702423095703125,-0.00469970703125,emitter
109,bernoulli_050,1024,512,1028.0,0.8289871215820312,0.0,emitter
109,g0_motif_seed,256,512,260.0,0.53125,0.0,emitter
109,periodic_perturbation,1024,256,1028.0,0.796600341796875,-0.0085296630859375,emitter
109,short_random_block,512,512,516.0,0.678497314453125,-0.00836181640625,emitter
109,g0_motif_seed,512,256,516.0,0.6640625,-0.0078125,emitter
109,bernoulli_025,1024,512,1024.0,0.78167724609375,0.0,emitter
109,g0_candidate_window_seed,256,512,260.0,0.6025619506835938,-0.00787353515625,emitter
109,short_random_block,1024,256,1028.0,0.675445556640625,-0.002960205078125,emitter
109,single_seed,1024,512,1028.0,0.751953125,-0.0078125,global_periodic_artifact
73,bernoulli_050,256,256,260.0,0.824188232421875,0.0,emitter
109,periodic_perturbation,1024,512,1028.0,0.8301467895507812,-0.0099945068359375,localized_oscillator
109,g0_candidate_window_seed,512,256,516.0,0.671356201171875,-0.00164794921875,emitter
109,g0_motif_seed,512,512,516.0,0.625,-0.0234375,emitter
73,bernoulli_025,256,256,260.0,0.8006744384765625,0.0,emitter
73,bernoulli_050,256,512,260.0,0.8316574096679688,0.0,emitter
109,two_cell_seed,1024,512,1028.0,0.7421875,-0.0078125,global_periodic_artifact
109,g0_motif_seed,1024,256,1028.0,0.65625,-0.00390625,emitter
73,bernoulli_050,512,256,516.0,0.81866455078125,0.0,emitter
109,g0_candidate_window_seed,512,512,516.0,0.6776351928710938,-0.002349853515625,emitter
73,single_seed,256,256,260.0,0.6328125,-0.015625,emitter
73,bernoulli_025,256,512,260.0,0.7946395874023438,0.0,emitter
73,bernoulli_025,512,256,516.0,0.7850799560546875,0.0,emitter
109,short_random_block,1024,512,1028.0,0.670684814453125,-0.00323486328125,emitter
109,g0_candidate_window_seed,1024,256,1028.0,0.6778411865234375,-0.0007171630859375,emitter
73,single_seed,256,512,260.0,0.609375,-0.046875,emitter
73,bernoulli_050,512,512,516.0,0.8171157836914062,0.0,emitter
73,two_cell_seed,256,256,260.0,0.7421875,-0.03125,global_periodic_artifact
73,single_seed,512,256,516.0,0.671875,0.0,emitter
73,bernoulli_050,1024,256,1028.0,0.827117919921875,0.0,emitter
73,two_cell_seed,256,512,260.0,0.6640625,-0.0625,emitter
109,g0_motif_seed,1024,512,1028.0,0.66015625,-0.00390625,emitter
73,bernoulli_025,512,512,516.0,0.78570556640625,0.0,emitter
73,short_random_block,256,256,260.0,0.6804962158203125,-0.0118408203125,emitter
73,two_cell_seed,512,256,516.0,0.7421875,-0.015625,global_periodic_artifact
