syndrome_id,probe_key,flow_mode,group_id,seed,start_index,window,component_count,scored_component_count,component_pass_count,syndrome_component_pass_fraction,syndrome_joint_pass,syndrome_signed_score_mean,syndrome_signed_score_min,syndrome_window_coherence_score,syndrome_direction_stability,decision_hint
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,0.05675011510332797,-0.1584653424502133,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,-0.11085710645663914,-0.3353837086785615,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,2,0,0.0,0,0.05285039687519104,-0.1584653424502133,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,0.1844223508392087,-0.022290247387974537,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,-0.3212225252398022,-0.40673132798081874,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,0.06554093746511244,-0.1686647394972738,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,3,0,0.0,0,-0.10812541744587467,-0.3518228707918842,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,16->24,3,2,0,0.0,0,0.04881609312424472,-0.1686647394972738,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,3,0,0.0,0,0.16803706032656732,-0.02863634841562383,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,2,0,0.0,0,-0.2652710844876902,-0.3595859349002216,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,3,0,0.0,0,0.05317709722763969,-0.1852776735113248,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,3,0,0.0,0,-0.10465575211955826,-0.3595859349002216,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,1,0,0.0,0,-0.1852776735113248,-0.1852776735113248,0.0,stable_direction,insufficient_components
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,3,0,0.0,0,0.16066894200984796,-0.05966952185173253,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,2,0,0.0,0,-0.2993112854016586,-0.3825658554304351,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,3,0,0.0,0,0.03103538647107058,-0.1954110942488484,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,3,0,0.0,0,-0.09526465157745612,-0.3825658554304351,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,24->32,3,1,0,0.0,0,-0.1954110942488484,-0.1954110942488484,0.0,stable_direction,insufficient_components
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,3,1.0,1,0.03902669493717489,-0.3834581523731676,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,0,0.0,0,-0.1365913401967837,-0.6701253244965905,0.0,mixed_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,0,0.0,0,0.07441017511566371,-0.3834581523731676,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,0,0.0,0,-0.06125432346817232,-0.3452585213244666,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,2,3,1.5,0,0.7068789680141179,0.2614301563956921,1.0,stable_direction,partial_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,3,1.0,1,0.019164061544531735,-0.4357250810049161,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,0,0.0,0,-0.13184471344342436,-0.6560355490673238,0.0,mixed_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,0,0.0,0,0.06286987016382495,-0.4357250810049161,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,3,0,0.0,0,-0.060669543602239695,-0.35266351817052316,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,0->1,3,2,3,1.5,0,0.7093314014690137,0.27167117332586777,1.0,stable_direction,partial_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,3,1.0,1,0.12475550873855525,-0.3808206494870031,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,0,0.0,0,-0.5591357670349619,-0.7373184854970933,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,3,1.0,1,-0.08472972619203109,-0.5990969911753478,1.0,mixed_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,0,0.0,0,-0.06557520853443502,-0.7373184854970933,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,2,3,1.5,0,0.17416130121797352,-0.5990969911753478,1.0,mixed_direction,partial_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,0,0.0,0,0.09617697655402507,-0.40688908464976553,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,0,0.0,0,-0.5234467702842682,-0.6788100130227307,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,0,0.0,0,-0.08948080888974634,-0.5996244206150957,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,3,0,0.0,0,-0.04310138312596689,-0.6788100130227307,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,1->2,3,2,3,1.5,0,0.15581855666790323,-0.5996244206150957,1.0,mixed_direction,partial_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,3,1.0,1,0.18502744348174535,-0.4892334496754648,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,0,0.0,0,-0.3547142534708845,-0.40223449311930753,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,3,1.0,1,0.03932117546582817,-0.44587809930909095,1.0,mixed_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,0,0.0,0,0.08855049789339518,-0.40223449311930753,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,2,0,0.0,0,-0.22210600288597807,-0.44587809930909095,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,3,1.0,1,0.18790545670845185,-0.527617978037809,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,0,0.0,0,-0.36495500054156954,-0.4362101254768586,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,3,1.0,1,0.10580253012642336,-0.336885348851742,1.0,mixed_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,3,3,1.0,1,0.0771154093983462,-0.4362101254768586,1.0,mixed_direction,joint_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,2->4,3,2,0,0.0,0,-0.16653765163458448,-0.336885348851742,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,3,1.0,1,0.19892215030034827,-0.3384873059772574,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,3,1.0,1,-0.11303330335072462,-0.5948933567830077,1.0,mixed_direction,joint_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,3,1.0,1,0.20322874363129062,-0.188019291801849,1.0,mixed_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,3,1.0,1,0.2439429956302242,-0.10714107661757923,1.0,mixed_direction,joint_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,2,0,0.0,0,0.06563889534980905,-0.188019291801849,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,3,1.0,1,0.18111459620779352,-0.3724945856163965,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,0,0.0,0,-0.13523364101285543,-0.6267005063832877,0.0,mixed_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,3,1.0,1,0.1834699486784091,-0.22291074831088967,1.0,mixed_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,3,0,0.0,0,0.24533731628492597,-0.0835445587851461,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,1,4->8,3,2,0,0.0,0,0.05239255763144969,-0.22291074831088967,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,8->16,3,3,0,0.0,0,-0.024542052429415828,-0.41251606529919477,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,8->16,3,3,0,0.0,0,-0.26307661209117045,-0.4786565387021298,0.0,mixed_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,8->16,3,3,0,0.0,0,0.05638277445206493,-0.2939747199829293,0.0,mixed_direction,no_component_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,1,8->16,3,3,0,0.0,0,-0.0074301225334545045,-0.39192014684083687,0.0,mixed_direction,no_component_pass
