H_cond_viable,H_recoverability_weighted,H_viability_weighted,N_eff_cond,N_eff_recoverability_weighted,Pi_mean,Pi_min,adaptive_idx,candidate_C,condition,estimator_mode,family,horizon_T,num_all_trajectories,num_viable_macro_classes,num_viable_trajectories,p_viable,pair_id,start_state,truncated,world_id,world_seed
4.90069593694098,4.883575992413876,0.10350269818819349,134.38326943112494,132.10221677358695,0.8961038961038962,0.5606060606060606,,random_k,reversible,exact,A,6,15625,165,330,0.02112,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,random_k,reversible,truncated,A,8,50000,0,0,0.0,1,start,1,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,random_k,reversible,truncated,A,10,50000,0,0,0.0,1,start,1,A_1_reversible,1
1.242453324894,1.242453324894,0.29818879797456,3.464101615137754,3.464101615137754,1.0,1.0,,checkerboard,reversible,exact,A,2,25,4,6,0.24,1,start,0,A_1_reversible,1
1.8202881914839817,1.8764936993640453,0.29124611063743705,6.173637383253562,6.530566541749471,0.925,0.7,,checkerboard,reversible,exact,A,3,125,8,20,0.16,1,start,0,A_1_reversible,1
2.5563207704314834,2.60760018786585,0.22495622779797053,12.88831092103857,13.56645481241289,0.8909090909090909,0.5636363636363636,,checkerboard,reversible,exact,A,4,625,16,55,0.088,1,start,0,A_1_reversible,1
3.2955679942194815,3.331039707149687,0.14342311910843183,26.99274143766415,27.96740450263787,0.8835784313725491,0.5220588235294118,,checkerboard,reversible,exact,A,5,3125,32,136,0.04352,1,start,0,A_1_reversible,1
3.9953822521975715,4.007071933322326,0.0843824731664127,54.34661076523945,54.985633021724,0.8961038961038962,0.5606060606060606,,checkerboard,reversible,exact,A,6,15625,64,330,0.02112,1,start,0,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,checkerboard,reversible,truncated,A,8,50000,0,0,0.0,1,start,1,A_1_reversible,1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,checkerboard,reversible,truncated,A,10,50000,0,0,0.0,1,start,1,A_1_reversible,1
1.5607104090414063,1.5607104090414063,0.3745704981699375,4.762203155904597,4.762203155904597,1.0,1.0,,trap_mixing_adversarial,reversible,exact,A,2,25,5,6,0.24,1,start,0,A_1_reversible,1
2.510529247162029,2.5213418853027583,0.4016846795459247,12.31144413344916,12.445285609595745,0.925,0.7,,trap_mixing_adversarial,reversible,exact,A,3,125,14,20,0.16,1,start,0,A_1_reversible,1
3.38337753151599,3.392345290098023,0.29773722277340714,29.47013953389575,29.735609185385176,0.8909090909090909,0.5636363636363636,,trap_mixing_adversarial,reversible,exact,A,4,625,35,55,0.088,1,start,0,A_1_reversible,1
