point_id,T,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
phase_002,50,19,0.2500236473704124,1.9999157116036064,0.0,0.7499763526295876
phase_002,50,20,0.2432787983161117,1.9998934901407648,0.0,0.7567212016838882
phase_002,50,21,0.2430872291904219,1.999905219998393,0.0,0.7569127708095781
phase_002,50,22,0.2483677138531415,1.9998711497888495,0.0,0.7516322861468585
phase_002,50,25,0.2485294117647059,1.999892677494904,0.0,0.7514705882352941
phase_002,50,24,0.251536497730711,1.9999170905038752,0.0,0.7484635022692889
phase_002,50,23,0.2489330424886191,1.999866008155176,0.0,0.7510669575113809
phase_002,50,27,0.2511186214775324,1.9999401816480376,0.0,0.7488813785224676
phase_002,50,26,0.2495486507031546,1.9999126270646863,0.0,0.7504513492968453
phase_002,50,28,0.2485746864310148,1.999871764418648,0.0,0.7514253135689852
phase_002,50,29,0.2446340771558245,1.999918144856156,0.0,0.7553659228441755
phase_002,100,0,0.2470601045296167,1.9998408692219771,0.0,0.7529398954703833
phase_002,100,2,0.2488938053097345,1.9999113579291077,0.0,0.7511061946902655
phase_002,100,3,0.2503004807692308,1.9999101778517696,0.0,0.7496995192307692
phase_002,100,1,0.2466947115384615,1.9999347420130504,0.0,0.7533052884615384
phase_002,100,4,0.2515290519877676,1.999897394747937,0.0,0.7484709480122325
phase_002,100,5,0.2472542409743366,1.999900748179912,0.0,0.7527457590256633
phase_002,100,7,0.2475929614873838,1.999912860687611,0.0,0.7524070385126163
phase_002,100,6,0.2561194516971279,1.9999082134696224,0.0,0.7438805483028721
phase_002,100,8,0.2519893899204244,1.9998830730984825,0.0,0.7480106100795756
