point_id,T,metric,mean,ci_low,ci_high,n_seeds
relation_lock_in_control,50,lock_in_index,6.0581005048575275e-06,6.051632413064872e-06,6.064848020171211e-06,30
relation_lock_in_control,100,p_viable,0.9662222222222224,0.964716388888889,0.9679055555555557,30
relation_lock_in_control,100,relation_lineage_excess,0.023462925562253486,0.023244630874089976,0.02368788610946995,30
relation_lock_in_control,100,closure_rate,0.3290731711079356,0.3285122166959517,0.3296610453024426,30
relation_lock_in_control,100,recoverable_alternative_count,2898.633333333333,2893.9808333333335,2903.2766666666666,30
relation_lock_in_control,100,lock_in_index,6.117674606035748e-06,5.916487037995116e-06,6.5059583377089674e-06,30
symmetric_transition_control,50,p_viable,0.617211111111111,0.6071230555555556,0.631745,30
symmetric_transition_control,50,relation_lineage_excess,0.011914763711485647,0.011556270729214115,0.012184693552806046,30
symmetric_transition_control,50,closure_rate,0.2574054158733597,0.2560397095574571,0.25895016778170854,30
symmetric_transition_control,50,recoverable_alternative_count,1851.6,1793.2591666666667,1909.645,30
symmetric_transition_control,50,lock_in_index,8.127947338811264e-07,7.075396778642196e-07,9.042621025175708e-07,30
symmetric_transition_control,100,p_viable,0.3629222222222222,0.34753611111111105,0.37680972222222214,30
symmetric_transition_control,100,relation_lineage_excess,0.01197801347366231,0.011700740399016009,0.012278510116102304,30
symmetric_transition_control,100,closure_rate,0.25126342334528656,0.25013366771695034,0.25232779420498325,30
symmetric_transition_control,100,recoverable_alternative_count,1088.7666666666667,1044.9108333333334,1133.6741666666667,30
symmetric_transition_control,100,lock_in_index,1.1510170213107144e-06,1.0556522526707456e-06,1.2540817218220998e-06,30
