point_id,rho_relation_persistence,alpha_asymmetry_strength,lambda_constraint_pressure,T,is_control,control,seed,p_viable,survival_depth,collapse_rate,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess,closure_rate,lineage_recurrence_rate,cycle_or_return_rate,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index,classification
phase_012,0.75,0.5,0.5,50,False,,14.5,0.7622666666666666,0.7622666666666666,0.00011111111111108667,0.25109508449953355,1.9998928150992932,0.0,0.7489049155004665,0.46759685441985793,0.4567006259606279,0.4580469575923672,0.0095498968274907,0.24876323402471912,0.2497885540425554,0.2497885540425554,2286.766666666667,0.9999456008548503,0.0,0.2175968544198579,0.00045247251289296664,0.13479166666666667,5.439914514972941e-05,6.666119815050513e-07,viable_slack_candidate
phase_012,0.75,0.5,0.5,100,False,,14.5,0.5777222222222222,0.5777222222222222,0.0002555555555555034,0.24998026263076698,1.9998588123445562,0.0,0.7500197373692329,0.4646119193794691,0.45554724904113325,0.4568566833003224,0.00775523607914662,0.2496562602602477,0.2501539368624001,0.2501539368624001,1733.1666666666667,0.9999329080890058,0.0,0.21461191937946908,0.0005789248445302533,0.09697916666666666,6.709191099416517e-05,6.116448836011244e-07,viable_slack_candidate
phase_013,0.75,0.5,0.75,50,False,,14.5,0.5387333333333333,0.5387333333333333,0.00143333333333328,0.2498147128206859,1.9998311343012183,0.0,0.750185287179314,0.5067437758937117,0.4907957595355231,0.49313751832570024,0.01360625756801136,0.255351063990279,0.25045901790367187,0.25045901790367187,1616.1333333333334,0.999888708350263,0.0,0.2567437758937116,0.0006640806749961067,0.12683333333333333,0.00011129164973697268,1.0964492548918452e-06,viable_slack_candidate
phase_013,0.75,0.5,0.75,100,False,,14.5,0.25618888888888885,0.25618888888888885,0.0032888888888888733,0.25027862318245925,1.999605357495946,0.0,0.7497213768175407,0.5125881209001317,0.4934352589327474,0.4972419365231446,0.015346184376987019,0.25008457907179427,0.24997991639387845,0.24997991639387845,768.5666666666667,0.9997613002931639,0.0,0.26258812090013167,0.0013337451466544198,0.089375,0.00023869970683608463,1.6675831047261491e-06,viable_slack_candidate
phase_014,0.75,0.5,1.0,50,False,,14.5,0.19545555555555552,0.19545555555555552,0.024244444444444423,0.25146255946997337,1.9994061128822849,0.0,0.7485374405300267,0.5645947103165301,0.5320967808218275,0.5390060381799209,0.02558867213660909,0.2705673479718392,0.25350539193405375,0.25350539193405375,586.3,0.999625494484072,0.0,0.31459471031653014,0.0019278833471256768,0.12641666666666668,0.0003745055159278633,4.249594584544786e-06,viable_slack_candidate
phase_014,0.75,0.5,1.0,100,False,,14.5,0.027677777777777753,0.027677777777777753,0.05898888888888884,0.25479428020457107,1.9953699935820395,0.0,0.7452057197954289,0.6313312070416571,0.5415273074046174,0.6001121894206505,0.0312190176210066,0.2586003986934983,0.24956799316239736,0.24956799316239736,83.03333333333333,0.9973076057041094,0.0,0.381331207041657,0.013160141272302714,0.09522916666666667,0.0026923942958905498,4.112218601384076e-05,mixed_or_inconclusive
phase_015,0.75,0.75,0.5,50,False,,14.5,0.8010555555555555,0.8010555555555555,4.444444444442667e-05,0.25102161692846997,1.9998967315933798,0.0,0.74897838307153,0.454846237057997,0.44461017795608415,0.445998234740005,0.008848002317991864,0.24719791379187794,0.2495064006487561,0.2495064006487561,2403.1666666666665,0.9999182930214157,5.5555555555553336e-05,0.20484623705799695,0.0004167371542091833,0.13391666666666666,8.17069785843323e-05,5.797847157574475e-07,viable_slack_candidate
phase_015,0.75,0.75,0.5,100,False,,14.5,0.6128111111111111,0.6128111111111111,0.00015555555555552334,0.25008784222597275,1.999871296237726,0.0,0.7499121577740272,0.45210231834215775,0.4437325445519876,0.444993632758261,0.00710868558389672,0.2503276634026461,0.24992028044509115,0.24992028044509115,1838.4333333333334,0.9999388787959247,0.0,0.2021023183421577,0.0005452710862159133,0.09391666666666666,6.112120407529127e-05,5.247088778580775e-07,viable_slack_candidate
phase_016,0.75,1.0,0.5,50,False,,14.5,0.8189,0.8189,2.2222222222213336e-05,0.2499979924401979,1.9999042816072583,0.0,0.7500020075598021,0.4464580874824715,0.43651404722495774,0.4378889586455375,0.008569128836933925,0.24817794829374507,0.24994663402629394,0.24994663402629394,2456.7,0.9999527910018434,0.0,0.19645808748247143,0.00040739592078974335,0.12129166666666666,4.720899815657636e-05,4.912824237349958e-07,viable_slack_candidate
phase_016,0.75,1.0,0.5,100,False,,14.5,0.6672444444444444,0.6672444444444444,5.555555555553333e-05,0.250169654727216,1.9998847356892684,0.0,0.749830345272784,0.44424258553482165,0.43607616334415267,0.4373432616063324,0.00689932392848924,0.24890945070142273,0.2500687824703913,0.2500687824703913,2001.7333333333333,0.999941405018932,0.0,0.19424258553482168,0.0005009243173253901,0.08685416666666666,5.859498106801447e-05,4.300468442892283e-07,viable_slack_candidate
