space,parent_rule_id,control_rule_id,control_type,output_entropy_difference,dependency_degree_difference,activity_density_difference,quiescent_preservation_match,rule_table_hamming_distance,left_right_dependency_preserved,center_dependency_preserved
q3_radius1,q3g3_s1_00175,q3g3_s1_00175_left_neighbor_removed,left_neighbor_removed,0.29313434399301386,1.0,0.08491161165491501,True,0.3333333333333333,True,True
q3_radius1,q3g3_s1_00175,q3g3_s1_00175_left_right_symmetrized_rule,left_right_symmetrized_rule,0.04883847749963621,0.0,0.6354325996582348,True,0.25925925925925924,False,True
q3_radius1,q3g3_s1_00175,q3g3_s1_00175_center_only_projection,center_only_projection,0.06743371132215614,2.0,0.5740649029370481,True,0.5555555555555556,False,True
q3_radius1,q3g3_s1_00175,q3g3_s1_00175_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.028146388083018614,True,0.5555555555555556,True,True
q3_radius1,q3g3_s1_00175,q3g3_s1_00175_right_neighbor_removed,right_neighbor_removed,0.01296426735848244,1.0,0.5736834332104856,True,0.5555555555555556,True,True
q3_radius1,q3g3_s1_00175,q3g3_s1_00175_symbol_phase_only,symbol_phase_only,0.5992329553445104,2.0,0.5739072287834024,True,0.5185185185185185,False,True
q3_radius1,q3g3_s1_00214,q3g3_s1_00214_center_only_projection,center_only_projection,0.582944578036227,2.0,0.03601650265302658,True,0.5185185185185185,False,True
q3_radius1,q3g3_s1_00214,q3g3_s1_00214_left_neighbor_removed,left_neighbor_removed,0.14959629693732412,1.0,0.0359855884851924,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00214,q3g3_s1_00214_left_right_symmetrized_rule,left_right_symmetrized_rule,0.24743902151912978,0.0,0.06542078406102791,True,0.18518518518518517,False,True
q3_radius1,q3g3_s1_00214,q3g3_s1_00214_right_neighbor_removed,right_neighbor_removed,0.5148136833598742,1.0,0.04254975297220198,True,0.37037037037037035,True,True
q3_radius1,q3g3_s1_00214,q3g3_s1_00214_symbol_phase_only,symbol_phase_only,0.582944578036227,2.0,0.036016978560677704,False,0.48148148148148145,False,True
q3_radius1,q3g3_s1_00214,q3g3_s1_00214_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.06702663528214337,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00216,q3g3_s1_00216_symbol_phase_only,symbol_phase_only,0.6224137511382075,2.0,0.30126440532800824,True,0.4444444444444444,False,True
q3_radius1,q3g3_s1_00216,q3g3_s1_00216_right_neighbor_removed,right_neighbor_removed,0.010216528435214478,1.0,0.030201367235090815,True,0.4074074074074074,True,True
q3_radius1,q3g3_s1_00216,q3g3_s1_00216_left_neighbor_removed,left_neighbor_removed,0.010216528435214478,1.0,0.004687353261807581,True,0.48148148148148145,True,True
q3_radius1,q3g3_s1_00216,q3g3_s1_00216_center_only_projection,center_only_projection,0.044252915528459,2.0,0.030545170854019532,True,0.48148148148148145,False,True
q3_radius1,q3g3_s1_00216,q3g3_s1_00216_left_right_symmetrized_rule,left_right_symmetrized_rule,0.027002072340761574,0.0,0.0642143680803029,True,0.14814814814814814,False,True
q3_radius1,q3g3_s1_00216,q3g3_s1_00216_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.16872553239788923,False,0.6296296296296297,True,True
q3_radius1,q3g3_s1_00237,q3g3_s1_00237_center_only_projection,center_only_projection,0.6427191765388194,2.0,0.15371879592508841,True,0.7407407407407407,False,True
q3_radius1,q3g3_s1_00237,q3g3_s1_00237_right_neighbor_removed,right_neighbor_removed,0.16886778692877447,1.0,0.15363454044136304,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00237,q3g3_s1_00237_left_neighbor_removed,left_neighbor_removed,0.030521953835826565,1.0,0.08599199142604774,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00237,q3g3_s1_00237_symbol_phase_only,symbol_phase_only,0.6427191765388194,2.0,0.3453052364594755,False,0.48148148148148145,False,True
q3_radius1,q3g3_s1_00237,q3g3_s1_00237_left_right_symmetrized_rule,left_right_symmetrized_rule,0.3860203506201385,0.0,0.3156130804962891,True,0.2962962962962963,False,True
q3_radius1,q3g3_s1_00237,q3g3_s1_00237_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.413958464604527,False,0.6666666666666666,True,True
q3_radius1,q3g3_s2_00000,q3g3_s2_00000_left_neighbor_removed,left_neighbor_removed,0.14944199643848943,1.0,0.24911697318292114,True,0.5185185185185185,True,True
q3_radius1,q3g3_s2_00000,q3g3_s2_00000_right_neighbor_removed,right_neighbor_removed,0.05446944396367348,1.0,0.43571560409179055,True,0.4444444444444444,True,True
q3_radius1,q3g3_s2_00000,q3g3_s2_00000_center_only_projection,center_only_projection,0.6666666666666665,2.0,0.03218308635312603,True,0.5185185185185185,False,True
q3_radius1,q3g3_s2_00000,q3g3_s2_00000_left_right_symmetrized_rule,left_right_symmetrized_rule,0.13840823132464397,0.0,0.17336448188568573,True,0.25925925925925924,False,True
q3_radius1,q3g3_s2_00000,q3g3_s2_00000_symbol_phase_only,symbol_phase_only,0.0,2.0,0.03302740601458437,True,0.48148148148148145,False,True
q3_radius1,q3g3_s2_00000,q3g3_s2_00000_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.2567151858482831,False,0.5185185185185185,True,True
q3_radius1,q3g3_s2_00001,q3g3_s2_00001_left_right_symmetrized_rule,left_right_symmetrized_rule,0.22736909212657874,0.0,0.8042876582551576,True,0.25925925925925924,False,True
q3_radius1,q3g3_s2_00001,q3g3_s2_00001_center_only_projection,center_only_projection,0.005949293441185111,2.0,0.6274297564272915,True,0.5185185185185185,False,True
q3_radius1,q3g3_s2_00001,q3g3_s2_00001_left_neighbor_removed,left_neighbor_removed,0.005949293441185111,1.0,0.20384156820137367,True,0.3333333333333333,True,True
q3_radius1,q3g3_s2_00001,q3g3_s2_00001_right_neighbor_removed,right_neighbor_removed,0.04852015052248859,1.0,0.6265956092918747,True,0.48148148148148145,True,True
q3_radius1,q3g3_s2_00001,q3g3_s2_00001_symbol_phase_only,symbol_phase_only,0.6607173732254814,2.0,0.7359204307789149,True,0.5185185185185185,False,True
q3_radius1,q3g3_s2_00001,q3g3_s2_00001_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.3380848151511229,True,0.7777777777777778,True,True
q3_radius1,q3g3_s2_00007,q3g3_s2_00007_symbol_phase_only,symbol_phase_only,0.5601387656076224,2.0,0.4468100624010112,False,0.4444444444444444,False,True
q3_radius1,q3g3_s2_00007,q3g3_s2_00007_right_neighbor_removed,right_neighbor_removed,0.0520584570953706,1.0,0.13419243389325453,True,0.5185185185185185,True,True
q3_radius1,q3g3_s2_00007,q3g3_s2_00007_center_only_projection,center_only_projection,0.10652790105904408,2.0,0.33305578994007373,True,0.5185185185185185,False,True
q3_radius1,q3g3_s2_00007,q3g3_s2_00007_left_neighbor_removed,left_neighbor_removed,0.0520584570953706,1.0,0.3356200101082786,True,0.48148148148148145,True,True
q3_radius1,q3g3_s2_00007,q3g3_s2_00007_left_right_symmetrized_rule,left_right_symmetrized_rule,0.06227498553058508,0.0,0.0468455432993472,True,0.2222222222222222,False,True
q3_radius1,q3g3_s2_00007,q3g3_s2_00007_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.039548481029686444,False,0.4074074074074074,True,True
q3_radius1,q3g3_s2_00009,q3g3_s2_00009_center_only_projection,center_only_projection,0.6666666666666665,2.0,0.7135145895042693,True,0.7037037037037037,False,True
q3_radius1,q3g3_s2_00009,q3g3_s2_00009_left_neighbor_removed,left_neighbor_removed,0.05446944396367348,1.0,0.21162015978123483,True,0.5185185185185185,True,True
q3_radius1,q3g3_s2_00009,q3g3_s2_00009_symbol_phase_only,symbol_phase_only,0.6666666666666665,2.0,0.713585390682109,True,0.5185185185185185,False,True
q3_radius1,q3g3_s2_00009,q3g3_s2_00009_right_neighbor_removed,right_neighbor_removed,0.05446944396367348,1.0,0.062398621755578976,True,0.5185185185185185,True,True
q3_radius1,q3g3_s2_00009,q3g3_s2_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0983965475670141,0.0,0.5855242931819566,True,0.14814814814814814,False,True
q3_radius1,q3g3_s2_00009,q3g3_s2_00009_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.20456588973156276,False,0.7037037037037037,True,True
q3_radius1,q3g3_s2_00014,q3g3_s2_00014_center_only_projection,center_only_projection,0.6427191765388192,2.0,0.732714389654783,True,0.6666666666666666,False,True
q3_radius1,q3g3_s2_00014,q3g3_s2_00014_right_neighbor_removed,right_neighbor_removed,0.03052195383582612,1.0,0.11763083772120198,True,0.3333333333333333,True,True
q3_radius1,q3g3_s2_00014,q3g3_s2_00014_left_neighbor_removed,left_neighbor_removed,0.16886778692877424,1.0,0.6476292005988823,True,0.48148148148148145,True,True
q3_radius1,q3g3_s2_00014,q3g3_s2_00014_symbol_phase_only,symbol_phase_only,0.02394749012784736,2.0,0.6233335796155428,True,0.5555555555555556,False,True
q3_radius1,q3g3_s2_00014,q3g3_s2_00014_left_right_symmetrized_rule,left_right_symmetrized_rule,0.05977459850259215,0.0,0.5181021389828014,True,0.2962962962962963,False,True
q3_radius1,q3g3_s2_00014,q3g3_s2_00014_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.16046019635315145,False,0.7407407407407407,True,True
q3_radius1,q3g3_s2_00025,q3g3_s2_00025_center_only_projection,center_only_projection,0.6607173732254814,2.0,0.6773493260513117,True,0.5925925925925926,False,True
q3_radius1,q3g3_s2_00025,q3g3_s2_00025_left_right_symmetrized_rule,left_right_symmetrized_rule,0.11718531190328996,0.0,0.7519606502897326,True,0.2962962962962963,False,True
q3_radius1,q3g3_s2_00025,q3g3_s2_00025_right_neighbor_removed,right_neighbor_removed,0.1868659836154365,1.0,0.5925194614502112,True,0.48148148148148145,True,True
