space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3g3_s4_00017,q3g3_s4_00017_symbol_phase_only,symbol_phase_only,"(0, 2, 0)",393,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00017,q3g3_s4_00017_left_right_symmetrized_rule,left_right_symmetrized_rule,"(1, 1, 1)",480,travelling,0.871337890625,17
q3_radius1,q3g3_s4_00017,q3g3_s4_00017_left_neighbor_removed,left_neighbor_removed,"(1, 1, 1)",397,travelling,0.961181640625,5
q3_radius1,q3g3_s4_00017,q3g3_s4_00017,raw,"(2, 2, 2)",398,travelling,0.827880859375,17
q3_radius1,q3g3_s4_00024,q3g3_s4_00024_symbol_phase_only,symbol_phase_only,"(0, 1, 1)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00017,q3g3_s4_00123,stratum_null_q3g3_s4_00123,"(2, 2, 2)",223,travelling,0.09423828125,17
q3_radius1,q3g3_s4_00017,q3g3_s4_00056,stratum_null_q3g3_s4_00056,"(2, 2, 2)",990,travelling,0.0947265625,17
q3_radius1,q3g3_s4_00024,q3g3_s4_00024_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 0)",82,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00017,q3g3_s4_00219,stratum_null_q3g3_s4_00219,"(1, 1, 1)",973,travelling,0.125732421875,4
q3_radius1,q3g3_s4_00017,q3g3_s4_00017_output_histogram_random,output_distribution_matched_random,"(0, 2, 0)",274,travelling,0.279052734375,17
q3_radius1,q3g3_s4_00017,q3g3_s4_00166,stratum_null_q3g3_s4_00166,"(0, 1, 1)",250,travelling,0.651611328125,17
q3_radius1,q3g3_s4_00024,q3g3_s4_00024,raw,"(0, 1, 0)",667,travelling,0.14404296875,17
q3_radius1,q3g3_s4_00024,q3g3_s4_00024_right_neighbor_removed,right_neighbor_removed,"(0, 1, 0)",466,travelling,0.043212890625,2
q3_radius1,q3g3_s4_00024,q3g3_s4_00072,stratum_null_q3g3_s4_00072,"(1, 1, 1)",987,travelling,0.2208251953125,17
q3_radius1,q3g3_s4_00040,q3g3_s4_00040_center_only_projection,center_only_projection,"(0, 2, 0)",309,emitter-like,0.0,2
q3_radius1,q3g3_s4_00040,q3g3_s4_00040_left_right_symmetrized_rule,left_right_symmetrized_rule,"(2, 2, 2)",472,travelling,0.2855224609375,17
q3_radius1,q3g3_s4_00040,q3g3_s4_00040_right_neighbor_removed,right_neighbor_removed,"(0, 1, 0)",322,emitter-like,0.0439453125,17
q3_radius1,q3g3_s4_00040,q3g3_s4_00040,raw,"(0, 1, 2)",241,emitter-like,0.091064453125,5
q3_radius1,q3g3_s4_00024,q3g3_s4_00081,stratum_null_q3g3_s4_00081,"(2, 2, 2)",286,travelling,0.1790771484375,17
q3_radius1,q3g3_s4_00040,q3g3_s4_00040_left_neighbor_removed,left_neighbor_removed,"(2, 2, 0)",177,emitter-like,0.0,5
q3_radius1,q3g3_s4_00024,q3g3_s4_00200,stratum_null_q3g3_s4_00200,"(0, 2, 2)",468,travelling,0.07177734375,3
q3_radius1,q3g3_s4_00024,q3g3_s4_00082,stratum_null_q3g3_s4_00082,"(1, 2, 1)",361,travelling,0.4674072265625,17
q3_radius1,q3g3_s4_00040,q3g3_s4_00040_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",308,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00024,q3g3_s4_00024_output_histogram_random,output_distribution_matched_random,"(0, 1, 0)",828,travelling,0.226318359375,17
q3_radius1,q3g3_s4_00040,q3g3_s4_00097,stratum_null_q3g3_s4_00097,"(2, 2, 2)",428,travelling,0.931396484375,10
q3_radius1,q3g3_s4_00040,q3g3_s4_00249,stratum_null_q3g3_s4_00249,"(1, 1, 1)",997,travelling,0.056640625,5
q3_radius1,q3g3_s4_00040,q3g3_s4_00040_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",342,travelling,0.82958984375,17
q3_radius1,q3g3_s4_00040,q3g3_s4_00077,stratum_null_q3g3_s4_00077,"(1, 2, 2)",311,travelling,0.4373779296875,17
q3_radius1,q3g3_s4_00043,q3g3_s4_00043_center_only_projection,center_only_projection,"(0, 2, 0)",245,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00043,q3g3_s4_00043_right_neighbor_removed,right_neighbor_removed,"(2, 2, 2)",541,oscillatory,0.119384765625,17
q3_radius1,q3g3_s4_00043,q3g3_s4_00043,raw,"(2, 2, 2)",362,travelling,0.501708984375,17
q3_radius1,q3g3_s4_00043,q3g3_s4_00043_left_right_symmetrized_rule,left_right_symmetrized_rule,"(2, 2, 2)",360,local-phase-clock-like,0.0,3
q3_radius1,q3g3_s4_00043,q3g3_s4_00043_left_neighbor_removed,left_neighbor_removed,"(2, 2, 2)",414,travelling,0.091796875,2
q3_radius1,q3g3_s4_00050,q3g3_s4_00050_symbol_phase_only,symbol_phase_only,"(0, 1, 1)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s4_00040,q3g3_s4_00059,stratum_null_q3g3_s4_00059,"(1, 1, 1)",1030,domain-wall-like,0.3424072265625,17
