object_kind,object_id,source_value,rational_numerator,rational_denominator,exact_rationalized,max_denominator_used,rationalization_error,status
channel_probability,asym_A_noisy_B_preserved_p_0_25::01->10,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::01->11,1/4,1,4,1,4,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::10->00,1/4,1,4,1,4,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::10->01,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::10->10,3/4,3,4,1,4,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::10->11,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::11->00,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::11->01,1/4,1,4,1,4,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::11->10,0,0,1,1,1,0,exact
channel_probability,asym_A_noisy_B_preserved_p_0_25::11->11,3/4,3,4,1,4,0,exact
channel_probability,asym_A_erased_B_preserved::00->00,1/2,1,2,1,2,0,exact
channel_probability,asym_A_erased_B_preserved::00->01,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::00->10,1/2,1,2,1,2,0,exact
channel_probability,asym_A_erased_B_preserved::00->11,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::01->00,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::01->01,1/2,1,2,1,2,0,exact
channel_probability,asym_A_erased_B_preserved::01->10,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::01->11,1/2,1,2,1,2,0,exact
channel_probability,asym_A_erased_B_preserved::10->00,1/2,1,2,1,2,0,exact
channel_probability,asym_A_erased_B_preserved::10->01,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::10->10,1/2,1,2,1,2,0,exact
channel_probability,asym_A_erased_B_preserved::10->11,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::11->00,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::11->01,1/2,1,2,1,2,0,exact
channel_probability,asym_A_erased_B_preserved::11->10,0,0,1,1,1,0,exact
channel_probability,asym_A_erased_B_preserved::11->11,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::00->00,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::00->01,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::00->10,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::00->11,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::01->00,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::01->01,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::01->10,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::01->11,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::10->00,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::10->01,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::10->10,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::10->11,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::11->00,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::11->01,0,0,1,1,1,0,exact
channel_probability,asym_B_erased_A_preserved::11->10,1/2,1,2,1,2,0,exact
channel_probability,asym_B_erased_A_preserved::11->11,1/2,1,2,1,2,0,exact
channel_probability,marginal_joint_degrade_q_0_10::00->00,9/10,9,10,1,10,0,exact
channel_probability,marginal_joint_degrade_q_0_10::00->01,1/20,1,20,1,20,0,exact
channel_probability,marginal_joint_degrade_q_0_10::00->10,1/20,1,20,1,20,0,exact
channel_probability,marginal_joint_degrade_q_0_10::00->11,0,0,1,1,1,0,exact
channel_probability,marginal_joint_degrade_q_0_10::01->00,1/20,1,20,1,20,0,exact
channel_probability,marginal_joint_degrade_q_0_10::01->01,9/10,9,10,1,10,0,exact
channel_probability,marginal_joint_degrade_q_0_10::01->10,0,0,1,1,1,0,exact
channel_probability,marginal_joint_degrade_q_0_10::01->11,1/20,1,20,1,20,0,exact
channel_probability,marginal_joint_degrade_q_0_10::10->00,1/20,1,20,1,20,0,exact
channel_probability,marginal_joint_degrade_q_0_10::10->01,0,0,1,1,1,0,exact
