world,T,seed,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta
W3_relation_only,50,12,0.9261100369872226,0.9261100369872226,0.9261100369872226,0.0,0.0
W3_relation_only,50,14,0.9260661393470212,0.9260661393470212,0.9260661393470212,0.0,0.0
W3_relation_only,50,16,0.926288798920378,0.926288798920378,0.926288798920378,0.0,0.0
W3_relation_only,50,17,0.9261597198785017,0.9261597198785017,0.9261597198785017,0.0,0.0
W3_relation_only,50,15,0.9262900101078168,0.9262900101078168,0.9262900101078168,0.0,0.0
W3_relation_only,50,18,0.9264430209035736,0.9264430209035736,0.9264430209035736,0.0,0.0
W3_relation_only,50,19,0.9258665824915824,0.9258665824915824,0.9258665824915824,0.0,0.0
W3_relation_only,50,20,0.926207997311828,0.926207997311828,0.926207997311828,0.0,0.0
W3_relation_only,50,21,0.926157516891892,0.926157516891892,0.926157516891892,0.0,0.0
W3_relation_only,50,23,0.9258930982112724,0.9258930982112724,0.9258930982112724,0.0,0.0
W3_relation_only,50,22,0.9263317599460552,0.9263317599460552,0.9263317599460552,0.0,0.0
W3_relation_only,50,24,0.9260472859069452,0.9260472859069452,0.9260472859069452,0.0,0.0
W3_relation_only,50,25,0.9262487373737374,0.9262487373737374,0.9262487373737374,0.0,0.0
W3_relation_only,50,26,0.9262054921061472,0.9262054921061472,0.9262054921061472,0.0,0.0
W3_relation_only,50,27,0.9261759979702302,0.9261759979702302,0.9261759979702302,0.0,0.0
W3_relation_only,50,28,0.9259040668241648,0.9259040668241648,0.9259040668241648,0.0,0.0
W3_relation_only,50,29,0.9262020363513968,0.9262020363513968,0.9262020363513968,0.0,0.0
W3_relation_only,100,1,0.926351282051282,0.926351282051282,0.926351282051282,0.0,0.0
W3_relation_only,100,2,0.9261934716082963,0.9261934716082963,0.9261934716082963,0.0,0.0
W3_relation_only,100,0,0.9263230657805044,0.9263230657805044,0.9263230657805044,0.0,0.0
W3_relation_only,100,3,0.9262472345132744,0.9262472345132744,0.9262472345132744,0.0,0.0
W3_relation_only,100,5,0.9264268502581756,0.9264268502581756,0.9264268502581756,0.0,0.0
W3_relation_only,100,4,0.9263388303298196,0.9263388303298196,0.9263388303298196,0.0,0.0
W3_relation_only,100,6,0.9264107387140902,0.9264107387140902,0.9264107387140902,0.0,0.0
W3_relation_only,100,7,0.9262438371302278,0.9262438371302278,0.9262438371302278,0.0,0.0
W3_relation_only,100,8,0.9262122311369068,0.9262122311369068,0.9262122311369068,0.0,0.0
W3_relation_only,100,9,0.9260962097878166,0.9260962097878166,0.9260962097878166,0.0,0.0
W3_relation_only,100,10,0.9262485088616224,0.9262485088616224,0.9262485088616224,0.0,0.0
W3_relation_only,100,11,0.926156665530174,0.926156665530174,0.926156665530174,0.0,0.0
W3_relation_only,100,12,0.926352605585831,0.926352605585831,0.926352605585831,0.0,0.0
W3_relation_only,100,13,0.9264503588516746,0.9264503588516746,0.9264503588516746,0.0,0.0
W3_relation_only,100,14,0.9264537068670996,0.9264537068670996,0.9264537068670996,0.0,0.0
W3_relation_only,100,17,0.9264586180389478,0.9264586180389478,0.9264586180389478,0.0,0.0
W3_relation_only,100,15,0.9264607583019512,0.9264607583019512,0.9264607583019512,0.0,0.0
W3_relation_only,100,16,0.9261937841997264,0.9261937841997264,0.9261937841997264,0.0,0.0
W3_relation_only,100,19,0.9264015086941696,0.9264015086941696,0.9264015086941696,0.0,0.0
W3_relation_only,100,18,0.9262211439808482,0.9262211439808482,0.9262211439808482,0.0,0.0
W3_relation_only,100,21,0.926369825246013,0.926369825246013,0.926369825246013,0.0,0.0
W3_relation_only,100,20,0.9261845460727643,0.9261845460727643,0.9261845460727643,0.0,0.0
W3_relation_only,100,22,0.9264402730375428,0.9264402730375428,0.9264402730375428,0.0,0.0
W3_relation_only,100,23,0.926292773237998,0.926292773237998,0.926292773237998,0.0,0.0
W7_full_DAR,50,0,0.7379156403940886,0.7379156403940886,0.7379156403940886,0.0,0.0
W7_full_DAR,50,2,0.7382537023977433,0.7382537023977433,0.7382537023977433,0.0,0.0
W7_full_DAR,50,1,0.7380314892136394,0.7380314892136394,0.7380314892136394,0.0,0.0
W7_full_DAR,50,3,0.7378742094167252,0.7378742094167252,0.7378742094167252,0.0,0.0
W7_full_DAR,50,4,0.7379078353022932,0.7379078353022932,0.7379078353022932,0.0,0.0
W7_full_DAR,50,5,0.7379412277642134,0.7379412277642134,0.7379412277642134,0.0,0.0
W3_relation_only,100,24,0.9260914083787466,0.9260914083787466,0.9260914083787466,0.0,0.0
W3_relation_only,100,26,0.9264387196165697,0.9264387196165697,0.9264387196165697,0.0,0.0
W3_relation_only,100,25,0.926205023761032,0.926205023761032,0.926205023761032,0.0,0.0
W3_relation_only,100,27,0.926220756489071,0.926220756489071,0.926220756489071,0.0,0.0
W3_relation_only,100,28,0.9263006296800544,0.9263006296800544,0.9263006296800544,0.0,0.0
W3_relation_only,100,29,0.9262455112859096,0.9262455112859096,0.9262455112859096,0.0,0.0
W7_full_DAR,50,7,0.7381252192213259,0.7381252192213259,0.7381252192213259,0.0,0.0
W7_full_DAR,50,6,0.7382058359621451,0.7382058359621451,0.7382058359621451,0.0,0.0
W7_full_DAR,50,8,0.738389718804921,0.738389718804921,0.738389718804921,0.0,0.0
W7_full_DAR,50,9,0.7378479107648725,0.7378479107648725,0.7378479107648725,0.0,0.0
W7_full_DAR,50,10,0.7382002617801048,0.7382002617801048,0.7382002617801048,0.0,0.0
W7_full_DAR,50,11,0.7380321214260502,0.7380321214260502,0.7380321214260502,0.0,0.0
W7_full_DAR,50,13,0.7384508095740938,0.7384508095740938,0.7384508095740938,0.0,0.0
W7_full_DAR,50,12,0.7387304006968641,0.7387304006968641,0.7387304006968641,0.0,0.0
W7_full_DAR,50,14,0.7384383802816901,0.7384383802816901,0.7384383802816901,0.0,0.0
W7_full_DAR,50,15,0.7383850877192982,0.7383850877192982,0.7383850877192982,0.0,0.0
W7_full_DAR,50,16,0.7376385936946511,0.7376385936946511,0.7376385936946511,0.0,0.0
W7_full_DAR,50,17,0.738105755773268,0.738105755773268,0.738105755773268,0.0,0.0
W7_full_DAR,50,18,0.7384370629370629,0.7384370629370629,0.7384370629370629,0.0,0.0
W7_full_DAR,50,19,0.7378409490333919,0.7378409490333919,0.7378409490333919,0.0,0.0
W7_full_DAR,50,20,0.7381951219512196,0.7381951219512196,0.7381951219512196,0.0,0.0
W7_full_DAR,50,21,0.73747171145686,0.73747171145686,0.73747171145686,0.0,0.0
W7_full_DAR,50,22,0.7383454720954721,0.7383454720954721,0.7383454720954721,0.0,0.0
W7_full_DAR,50,23,0.7376447876447876,0.7376447876447876,0.7376447876447876,0.0,0.0
W7_full_DAR,50,24,0.7383309734513275,0.7383309734513275,0.7383309734513275,0.0,0.0
W7_full_DAR,50,26,0.7382402699859747,0.7382402699859747,0.7382402699859747,0.0,0.0
W7_full_DAR,50,25,0.7379656435298222,0.7379656435298222,0.7379656435298222,0.0,0.0
W7_full_DAR,50,27,0.7378485704200495,0.7378485704200495,0.7378485704200495,0.0,0.0
W7_full_DAR,50,28,0.7385062698693042,0.7385062698693042,0.7385062698693042,0.0,0.0
W7_full_DAR,50,29,0.7380037706068046,0.7380037706068046,0.7380037706068046,0.0,0.0
W7_full_DAR,100,1,0.7386555772086117,0.7386555772086117,0.7386555772086117,0.0,0.0
W7_full_DAR,100,0,0.7388194188191882,0.7388194188191882,0.7388194188191882,0.0,0.0
W7_full_DAR,100,2,0.7385827267637177,0.7385827267637177,0.7385827267637177,0.0,0.0
W7_full_DAR,100,3,0.7388621676514033,0.7388621676514033,0.7388621676514033,0.0,0.0
W7_full_DAR,100,5,0.7388026882727613,0.7388026882727613,0.7388026882727613,0.0,0.0
W7_full_DAR,100,4,0.7387890912435614,0.7387890912435614,0.7387890912435614,0.0,0.0
W7_full_DAR,100,7,0.7388552319211102,0.7388552319211102,0.7388552319211102,0.0,0.0
W7_full_DAR,100,6,0.7385364275147929,0.7385364275147929,0.7385364275147929,0.0,0.0
W7_full_DAR,100,8,0.7388280669144982,0.7388280669144982,0.7388280669144982,0.0,0.0
W7_full_DAR,100,9,0.7389005321135176,0.7389005321135176,0.7389005321135176,0.0,0.0
W7_full_DAR,100,11,0.738338324732768,0.738338324732768,0.738338324732768,0.0,0.0
W7_full_DAR,100,10,0.7386817887532371,0.7386817887532371,0.7386817887532371,0.0,0.0
W7_full_DAR,100,12,0.7388938547486031,0.7388938547486031,0.7388938547486031,0.0,0.0
W7_full_DAR,100,13,0.7388923405044511,0.7388923405044511,0.7388923405044511,0.0,0.0
W7_full_DAR,100,14,0.73824297752809,0.73824297752809,0.73824297752809,0.0,0.0
W7_full_DAR,100,16,0.7384428280207561,0.7384428280207561,0.7384428280207561,0.0,0.0
W7_full_DAR,100,15,0.737915438467207,0.737915438467207,0.737915438467207,0.0,0.0
W7_full_DAR,100,17,0.7384215479250825,0.7384215479250825,0.7384215479250825,0.0,0.0
W8_full_random_relation_control,50,0,0.7218937153419592,0.7218937153419592,0.7218937153419592,0.0,0.0
W8_full_random_relation_control,50,1,0.7246280576852865,0.7246280576852865,0.7246280576852865,0.0,0.0
W8_full_random_relation_control,50,2,0.7237573448402498,0.7237573448402498,0.7237573448402498,0.0,0.0
W8_full_random_relation_control,50,3,0.7237971784536461,0.7237971784536461,0.7237971784536461,0.0,0.0
W8_full_random_relation_control,50,4,0.7225595456211067,0.7225595456211067,0.7225595456211067,0.0,0.0
W8_full_random_relation_control,50,5,0.7230238800444277,0.7230238800444277,0.7230238800444277,0.0,0.0
W7_full_DAR,100,19,0.7381853875826598,0.7381853875826598,0.7381853875826598,0.0,0.0
W7_full_DAR,100,18,0.7387789781157269,0.7387789781157269,0.7387789781157269,0.0,0.0
W7_full_DAR,100,21,0.73860254379426,0.73860254379426,0.73860254379426,0.0,0.0
W7_full_DAR,100,20,0.7387361265260821,0.7387361265260821,0.7387361265260821,0.0,0.0
W7_full_DAR,100,22,0.7386025307033866,0.7386025307033866,0.7386025307033866,0.0,0.0
W7_full_DAR,100,23,0.7383951822916666,0.7383951822916666,0.7383951822916666,0.0,0.0
W7_full_DAR,100,25,0.7383998424175009,0.7383998424175009,0.7383998424175009,0.0,0.0
W7_full_DAR,100,24,0.7391733573274272,0.7391733573274272,0.7391733573274272,0.0,0.0
W7_full_DAR,100,26,0.738778933007151,0.738778933007151,0.738778933007151,0.0,0.0
W7_full_DAR,100,27,0.7385641084558824,0.7385641084558824,0.7385641084558824,0.0,0.0
