world,seed,T,branch_probability,loop_closure_rate,nontrivial_loop_closure_rate,holonomy_diversity_proxy,trivial_closure_rate
W1_distinction_only,10,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,11,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,13,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,14,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,17,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,16,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,15,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,18,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,20,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,19,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,21,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,22,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,23,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,24,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,25,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,26,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,28,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,29,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,30,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,27,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,31,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,32,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,33,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,34,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,35,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,36,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,37,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,38,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,39,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,40,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,41,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,43,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,42,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,44,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,45,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,46,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,47,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,48,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,49,100,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,0,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,1,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,2,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,3,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,4,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,5,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,7,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,6,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,8,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,9,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,10,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,11,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,12,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,14,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,15,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,13,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,16,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,17,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,18,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,19,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,20,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,21,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,22,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,23,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,24,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,25,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,26,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,27,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,28,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,29,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,30,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,31,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,32,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,33,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,34,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,35,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,37,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,36,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,38,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,39,100,0.25,0.0,0.0,0.0,1.0
W2_local_memory_only,0,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,3,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,1,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,2,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,40,100,0.25,0.0,0.0,0.0,1.0
W2_local_memory_only,4,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,5,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,6,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,41,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,42,100,0.25,0.0,0.0,0.0,1.0
W2_local_memory_only,7,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,43,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,44,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,46,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,45,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,47,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,48,100,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,49,100,0.25,0.0,0.0,0.0,1.0
W2_local_memory_only,8,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,9,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,10,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,11,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,12,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,13,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,14,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,15,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,16,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,17,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,18,50,0.1,0.0,0.0,0.0,1.0
W2_local_memory_only,19,50,0.1,0.0,0.0,0.0,1.0
