parent_rule_id,rule_id,control_type,stable_product_rate,phase_sensitive_outcome_rate,new_motif_rate,emission_rate,interaction_outcome_diversity,dominant_interaction_outcome
q2r2_s7_0019,q2r2_s7_0019,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0019,q2r2_s7_0019_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q2r2_s7_0019,q2r2_s7_0019_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0019,q2r2_s7_0019_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0021,q2r2_s7_0021,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0021,q2r2_s7_0021_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q2r2_s7_0021,q2r2_s7_0021_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0021,q2r2_s7_0021_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0023,q2r2_s7_0023,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0023,q2r2_s7_0023_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q2r2_s7_0023,q2r2_s7_0023_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0023,q2r2_s7_0023_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0024,q2r2_s7_0024,raw,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0024,q2r2_s7_0024_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s7_0024,q2r2_s7_0024_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q2r2_s7_0024,q2r2_s7_0024_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s8_0007,q2r2_s8_0007,raw,0.0,1.0,0.0,0.0,0.9182958340544896,pass_through
q2r2_s8_0007,q2r2_s8_0007_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s8_0007,q2r2_s8_0007_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,-0.0,pass_through
q2r2_s8_0007,q2r2_s8_0007_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
ECA_169,ECA_169,raw,0.0,0.0,0.0,0.0,0.0,not_run_for_ECA_anchor
ECA_169,ECA_169_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,0.0,not_run_for_ECA_anchor
ECA_169,ECA_169_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,0.0,not_run_for_ECA_anchor
ECA_169,ECA_169_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,0.0,0.0,not_run_for_ECA_anchor
ECA_225,ECA_225,raw,0.0,0.0,0.0,0.0,0.0,not_run_for_ECA_anchor
ECA_225,ECA_225_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,0.0,not_run_for_ECA_anchor
ECA_225,ECA_225_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,0.0,0.0,not_run_for_ECA_anchor
